Player,Date,Against,Location,Result,Type of Game
Alan Mullery,5 June 1968,Yugoslavia,"Stadio Artemio Franchi , Florence",0-1,1968 European Championship
Alan Ball,6 June 1973,Poland,"Silesian Stadium , Chorzów",0-2,1974 World Cup Qualifier
Trevor Cherry,12 June 1977,Argentina,Buenos Aires,1-1,Friendly
Ray Wilkins,6 June 1986,Morocco,"Estadio Tecnológico , Monterrey",0-0,1986 World Cup
David Beckham,30 June 1998,Argentina,"Stade Geoffroy-Guichard , Saint-Étienne",2-2,1998 World Cup
Paul Ince,5 September 1998,Sweden,"Råsunda Stadium , Solna Municipality",1-2,2000 European Championship Qualifier
Paul Scholes,5 June 1999,Sweden,"Wembley Stadium , London",0-0,2000 European Championship Qualifier
David Batty,8 September 1999,Poland,"Wembley Stadium , London",0-0,2000 European Championship Qualifier
Alan Smith,16 October 2002,Macedonia,"St Mary 's Stadium , Southampton",2-2,2004 European Championship Qualifier
David Beckham,8 October 2005,Austria,"Old Trafford , Manchester",1-0,2006 World Cup Qualifier
Wayne Rooney,1 July 2006,Portugal,"Veltins-Arena , Gelsenkirchen",0-0,2006 World Cup
Robert Green,10 October 2009,Ukraine,"Dnipro-Arena , Dnipropetrovsk",0-1,2010 World Cup Qualifier
Wayne Rooney,7 October 2011,Montenegro,"Podgorica City Stadium , Podgorica",2-2,2012 European Championship Qualifier
Steven Gerrard,11 September 2012,Ukraine,"Wembley Stadium , London",1-1,2014 World Cup Qualifier
Raheem Sterling,4 June 2014,Ecuador,"Sun Life Stadium , Miami",2-2,Friendly
