Year,Time,Athlete,Place
2001,3:44.95,Hicham El Guerrouj ( MAR ),Rome
2002,3:48.28,Hicham El Guerrouj ( MAR ),Rome
2003,3:48.17,Paul Korir ( KEN ),London
2004,3:49.84,Paul Korir ( KEN ),London
2005,3:47.97,Daham Najim Bashir ( QAT ),Oslo
2006,3:50.32,Alex Kipchirchir ( KEN ),Oslo
2007,3:46.91,Alan Webb ( USA ),Brasschaat
2008,3:49.38,Andrew Baddeley ( GBR ),Oslo
2009,3:48.50,Asbel Kiprop ( KEN ),Eugene
2010,3:49.56,Asbel Kiprop ( KEN ),Oslo
2011,3:49.09,Haron Keitany ( KEN ),Eugene
2012,3:49.22,Asbel Kiprop ( KEN ),Oslo
2013,3:49.48,Silas Kiplagat ( KEN ),Eugene
2014,3:47.32,Ayanleh Souleiman ( DJI ),Eugene
2015,3:51.10,Ayanleh Souleiman ( DJI ),Eugene
2016,3:50.63 i,Matthew Centrowitz ( USA ),New York City
2017,3:49.04,Ronald Kwemoi ( KEN ),Eugene
2018,3:49.44 i,Edward Cheserek ( KEN ),Boston
2019,3:47.01 i,Yomif Kejelcha ( ETH ),Boston
