Round,Circuit,Pole Position,Fastest Lap,Winning driver,Winning team
1,Vallelunga,Franco Forini,Alessandro Santin Nino Famà Walter Voulaz,Walter Voulaz,Automotor
2,Mugello,Alex Caffi,Alessandro Santin,Franco Forini,Venturini Racing
3,Misano,,Nicola Carboni Fabrizio Barbazza Franco Scapini,Alessandro Santin,Coloni
4,Mugello,Alex Caffi,Gianfranco Tacchino,Alessandro Santin,Coloni
5,Monza,,Alex Caffi Luigi Giannini Alex Caffi,Alex Caffi,Euroteam
6,Magione,Marco Apicella,Marco Apicella Nino Famà Marco Apicella,Franco Scapini,Automotor
7,Varano,Marco Apicella,Marco Apicella Franco Scapini Franco Scapini,Franco Scapini,Automotor
8,Pergusa,Alessandro Santin,Alessandro Santin,Alessandro Santin,Coloni
9,Varano,Franco Scapini,Franco Scapini Mauro Apicella Juan Manuel Fangio II,Alex Caffi,Eutoteam
10,Vallelunga,Walter Voulaz,Alex Caffi Alessandro Santin Alessandro Santin,Alessandro Santin,Coloni
11,Imola,Alex Caffi,Alessandro Santin,Franco Forini,Venturini Racing
12,Misano,Alessandro Santin,Alex Caffi Marco Apicella Ivan Capelli,Gianfranco Tacchino,Prema Racing
