Name,Park,Type,Opened
4D Cinema,England Paultons Park,4D Cinema,March 22
Antarctica : Empire of the Penguin,United States SeaWorld Orlando,Dark ride /penguin exhibit,May 24
Aqua Twist,Canada La Ronde,Mack Rides Twist ' N ' Splash,June 1
Barnstormer,United States Silverwood,Barnstormer,June 8
Battaglia Navale,Italy Rainbow Magicland,Splash Battle,March 31
Big Wave Racer,United States Six Flags Hurricane Harbor : New Jersey,Multi-lane mat racer,June 21
Bonzai Pipelines,United States Six Flags America United States Six Flags New England,SplashTacular DownUnder,July 13 June 12
Cirque Dreams Splashtastic,United States Six Flags Discovery Kingdom,Show,May 25
Demonia,Italy Rainbow Magicland,Horror House,October 5
Dinosaurs Alive !,United States Carowinds United States Worlds of Fun United States Valleyfair,Animatronic dinosaur exhibit,March 2 April 20 May 11
Garden of Wonders,Hong Kong Hong Kong Disneyland,Walkthrough,May 17
Gunslinger,United States Six Flags Fiesta Texas,Funtime Sling Shot,March 2
Hyena Falls,United States Holiday World & Splashin ' Safari,4 inline tube slides,May 10
IgNight - Grand Finale,United States Six Flags Great America,Nighttime show,June 15
Kitty 's Tea Party,United States Holiday World & Splashin ' Safari,Teacups,May 10
Lakeside Gliders,United States Michigan 's Adventure,Flying Scooters,May 22
Legoland Hotel,United States Legoland California,Hotel,April 5
Madagascar Live ! It 's Circus Time,Germany Heide Park Italy Gardaland,Live Show,March 23 March 28
Madagascar Live ! Operation : Vacation,United States Busch Gardens Tampa Bay United States SeaWorld San Diego,Live Show,May 18 June 15
Märchenwald ( expansion ),Germany Europa-Park,Themed area,March 23
