The Vedic lunar month,Presiding deity,Krishna paksha Ekadashi name,Shukla paksha Ekadashi name
"Chaitra ( चैत्र , April-May )",Vishnu,Papavimocani Ekadashi,Kamada Ekadashi
"Vaisakha ( वैशाख , May-June )",Madhusudana,Varuthini Ekadashi,Mohini Ekadashi
"Jyeshta ( ज्येष्ठ , June-July )",Trivikrama,Apara Ekadashi,Nirjala Ekadashi
"Ashaad ( आषाढ , July-August )",Vaamana,Yogini Ekadashi,Shayani Ekadashi
"Shraavana ( श्राव=90ण , August-September )",Sridhar,Kamika Ekadashi,Shravana Putrada Ekadashi
"Bhadrapada ( भाद्रपद , September-October )",Hrisikesha,Ananda Ekadashi,Parsva Ekadashi
"Ashvin ( अश्विन् , October-November )",Padmanabha,Indira Ekadashi,Paashunkushaa Ekadashi
"Kartik ( कार्तिक , November-December )",Damodara,Rama Ekadashi,Prabodhini Ekadashi
"Margashirsha ( Agrahayana ) ( मार्गशीर्ष , December-January )",Keshava,Vaikunta Ekadashi,Mokshada Ekadashi
"Pausha ( पौष , January-February )",Naaraayana,Saphala Ekadashi,Pausha Putrada Ekadashi
"Maagha ( माघ , February-March )",Maadhava,Shat Tila Ekadashi,Bhaimi Ekadashi / Jaya Ekadashi
"Phalguna ( फाल्गुन , March-April )",Govinda,Utpanna Ekadashi,Amalaki Ekadashi
"Adhika month ( अधिक , once in 2-3 years )",Purushottama,Paramaa Shuddha Ekadashi,Padmini Visuddha Ekadashi
