Opponent,S,Occurrences,GP,Rec,%
Detroit Red Wings,23,"1929 , 1934 , 1936 , 1939 , 1940 , 1942 , 1943 , 1945 , 1947 , 1948 , 1949 , 1950 , 1952 , 1954 , 1955 , 1956 , 1960 , 1961 , 1963 , 1964 , 1987 , 1988 , 1993",117,12-11,.522
Boston Bruins,16,"1933 , 1935 , 1936 , 1938 , 1939 , 1941 , 1948 , 1949 , 1951 , 1959 , 1969 , 1972 , 1974 , 2013 , 2018 , 2019",83,8-8,.500
Montreal Canadiens,15,"1918 , 1925 , 1944 , 1945 , 1947 , 1951 , 1959 , 1960 , 1963 , 1964 , 1965 , 1966 , 1967 , 1978 , 1979",71,7-8,.467
Chicago Blackhawks,9,"1931 , 1932 , 1938 , 1940 , 1962 , 1967 , 1986 , 1994 , 1995",38,6-3,.667
New York Rangers,8,"1929 , 1932 , 1933 , 1937 , 1940 , 1942 , 1962 , 1971",35,3-5,.375
Philadelphia Flyers,6,"1975 , 1976 , 1977 , 1999 , 2003 , 2004",36,1-5,.167
St. Louis Blues,5,"1986 , 1987 , 1990 , 1993 , 1996",31,2-3,.400
Ottawa Senators,4,"2000 , 2001 , 2002 , 2004",24,4-0,1.000
Pittsburgh Penguins,3,"1976 , 1977 , 1999",12,3-0,1.000
Los Angeles Kings,3,"1975 , 1978 , 1993",12,2-1,.667
New York Islanders,3,"1978 , 1981 , 2002",17,2-1,.667
New York Americans,2,"1936 , 1939",5,2-0,1.000
Montreal Maroons,2,"1932 , 1935",5,1-1,.500
Ottawa Senators ( original ),2,"1921 , 1922",4,1-1,.500
Dallas Stars,2,"1980 , 1983",7,0-2,.000
New Jersey Devils,2,"2000 , 2001",13,0-2,.000
Calgary Flames,1,1979,2,1-0,1.000
San Jose Sharks,1,1994,7,1-0,1.000
Buffalo Sabres,1,1999,5,0-1,.000
Carolina Hurricanes,1,2002,6,0-1,.000
