Name,Aliases,Place of birth,Years active
Sophie Anderson,,Bristol,2017-
Samantha Bentley,"Lady Samantha Bantley , Samantha B , Pixie May",South London,2011-
Linzi Drew,,Bristol,1981-1998
Hannah Harper,Hannah Hunter,Brixham,2001-
Ashley Long,"Amy Ball , Ashley Morgan , Ashley Britt",London,2001-2007
Linsey Dawn McKenzie,,London,2000-2004 and 2009-
Mary Millington,"Nancy Astley , Susan David , Janet Green , Samantha Jones , June Taylor , Karen Young",,1970s
Rebecca More,,London,2011-
Poppy Morgan,Poppy,"Hull , Yorkshire",2004-
Kay Parker,"Jill Jackson , Kay Taylor Parker ,",Birmingham,1977-1998
Nici Sterling,"Nici Norman , Nicky Teen",Epsom,1994-2006
Tanya Tate,,Liverpool,2009-
Michelle Thorne,"Tasha , Michelle Thorpe",Bristol,2000-2007
Taylor Wane,"Zoey Miles , Joanna G , Farran Heights",Gateshead,1989-2006
