Year,Player,Team,Points per game
1997,Carl Ray Harris,Wonju Naray Blue Bird,32.3
1997-98,Larry Davis,Anyang SBS Stars,30.6
1998-99,Bernard Blunt,Changwon LG Sakers,29.9
1999-2000,Eric Eberz,Gwangju Goldbank Clickers,27.7
2000-01,Dennis Edwards,Anyang SBS Stars,33.4
2001-02,Eric Eberz ( 2 ),Yeosu Korea Tender Prumi,28.3
2002-03,Leon Trimmingham,Seoul SK Knights,27.4
2003-04,Charles Minlend,Jeonju KCC Egis,27.1
2004-05,Nate Johnson,Daegu Orions,28.7
2005-06,Dontae ' Jones,Anyang KT & G Kites,29.2
2006-07,Pete Mickeal,Daegu Orions,35.1
2007-08,Terrence Shannon,Incheon ET Land Black Slamer,27.2
2008-09,Terrence Leather,Seoul Samsung Thunders,27.5
2009-10,Greg Stevenson,Changwon LG Sakers,21.9
2010-11,Aaron Haynes,Seoul Samsung Thunders,23.1
2011-12,Aaron Haynes ( 2 ),Changwon LG Sakers,27.6
2012-13,Jasper Johnson,Busan KT Sonicboom,19.7
2013-14,Tyler Wilkerson,Jeonju KCC Egis,21.5
2014-15,Davon Jefferson,Changwon LG Sakers,21.3
2015-16,Andre Emmett,Jeonju KCC Egis,26.2
