Camp name,Council,Location,Status,Notes
Bear Lake Scout Camp,Summer Trails / Saginaw Bay area / Lake Huron area,Kalkaska,Sold,Sold in 1985
Camp Agawam,Michigan Crossroads Council,Lake Orion,Run by local parks,
Camp Brady,Detroit Area Council ( Michigan Crossroads Council ),Waterford,Sold,Sold in 1946
Camp Frank S. Betz,Pathway to Adventure Council,Berrien Springs,Active,
Camp Greilick,Michigan Crossroads Council,Traverse City,Reverted to Rotary Foundation of Traverse City,
Camp Haley,Summer Trails Council,Selkirk,Sold,"Sold in 1947 . Was on Henderson Lake near Lupton , Michigan . It is now the Camp Lu Lay Lea Lutheran summer camp"
Camp Hiawatha,Bay-Lakes Council,Munising,Active,
Camp Holaka,Michigan Crossroads Council,Lapeer,Closed,Located on 340 acres in Lapeer County . Camp Holaka was sold 2018
Camp Kanesatake,Wolverine Council ( Michigan Crossroads Council ),Cambridge Township,Sold,The camp was located on Washington Lake . It was sold in the early 1980s
Camp Kiroliex,Chief Okemos Council ( Michigan Crossroads Council ),Waterloo Township,Closed,"The camp was located on Clear Lake in Waterloo Township , Michigan"
Camp Kiwanis,Saginaw Kiwanis Club,Mason,Closed,"85 acres located 3.5 miles east of Mason , Michigan on M-36 at Diamond Road"
Camp Neyati,Summer Trails/Paul Bunyan Council,"Lake , Michigan",Closed,"Closed in 1962 , and is now owned and operated by Midland Community Foundation"
Camp Madron,Southwest Michigan Council ( Michigan Crossroads Council ),Buchanan,Sold,Was located on Madron Lake and sold in 1985
Camp Munhacke,Michigan Crossroads Council,Gregory,Active,"Michigan Crossroads council announced in October , 2019 , the camp will be closed in January , 2020"
Camp Northwinds,Southwest Michigan Council ( Michigan Crossroads Council ),Eden Township,Sold,"1,280 camp located in Mason County . Sold in 1991"
Camp Pine Lake,Tall Pine Council ( Michigan Crossroads Council ),Linden,Closed,
Camp Rotary,Michigan Crossroads Council,Clare,Active,"The campground is owned by the Saginaw Rotary Club , but leased by the Boy Scouts . Camp Rotary offers 1,180 acres of year around camping just north of Clare , MI , on old US-27"
