Season,Winner,Runner-up,Third
1984,Soviet Union Venera Chernyshova Liudmila Zabolotnaya Kaija Parve,Norway Sanna Grønlid Gry Østvik Siv Bråten,United States Holly Beatie Julie Newman Kari Swenson
1985,Soviet Union Venera Chernyshova Elena Golovina Kaija Parve,Norway Sanna Grønlid Gry Østvik Siv Bråten,Finland Pirjo Mattila Tuija Vuoksiala Teija Nieminen
1986,Soviet Union Kaija Parve Nadejda Belova Venera Chernyshova,Sweden Eva Korpela Inger Björkbom Sabine Karlsson,Norway Sanna Grønlid Siv Bråten Anne Elvebakk
1987,Soviet Union Elena Golovina Venera Chernyshova Kaija Parve,Sweden Inger Björkbom Mia Stadig Eva Korpela,Norway Anne Elvebakk Sanna Grønlid Siv Bråten Lunde
1988,Soviet Union Venera Chernyshova Elena Golovina Kaija Parve,Norway Elin Kristiansen Anne Elvebakk Mona Bollerud,Sweden Eva Korpela Inger Björkbom Sabine Karlsson
1989,Soviet Union Natalia Prikazchikova Svetlana Davidova Elena Golovina,Bulgaria Zvetana Krasteva Maria Manolova Nadezhda Aleksieva,Czechoslovakia Eva Burešová Renata Novotná Jiřina Adamičková
1990,Soviet Union Elena Batsevich Elena Golovina Svetlana Davidova,Norway Grete Ingeborg Nykkelmo Anne Elvebakk Elin Kristiansen,Finland Tuija Vuoksiala Seija Hyytiäinen Pirjo Mattila
1991,Soviet Union Yelena Belova Elena Golovina ( 6 ) Svetlana Davidova,Norway Grete Ingeborg Nykkelmo Anne Elvebakk Elin Kristiansen,Germany Uschi Disl Kerstin Moring Antje Misersky
1993,Czech Republic Jana Kulhavá Jiřina Adamičková Iveta Knížková Eva Háková,France Corinne Niogret Véronique Claudel Delphyne Heymann Anne Briand,Russia Svetlana Paniutina Nadejda Talanova Olga Simushina Yelena Belova
1995,Germany Uschi Disl Antje Harvey Simone Greiner-Petter-Memm Petra Schaaf,France Corinne Niogret Véronique Claudel Florence Baverel Anne Briand,Norway Ann-Elen Skjelbreid Hildegunn Fossen Annette Sikveland Gunn Margit Andreassen
1996,Germany Uschi Disl Simone Greiner-Petter-Memm Katrin Apel Petra Behle,France Corinne Niogret Florence Baverel Emmanuelle Claret Anne Briand,Ukraine Tetyana Vodopyanova Valentina Tserbe-Nessina Olena Petrova Olena Zubrilova
1997,Germany Uschi Disl Simone Greiner-Petter-Memm Katrin Apel Petra Behle,Norway Ann-Elen Skjelbreid Annette Sikveland Liv Grete Skjelbreid Gunn Margit Andreassen,Russia Olga Melnik Galina Koukleva Nadejda Talanova Olga Romasko
1999,Germany Uschi Disl Simone Greiner-Petter-Memm Katrin Apel Martina Zellner,Russia Nadezhda Talanova Galina Koukleva Olga Romasko Albina Akhatova,France Delphyne Heymann-Burlet Florence Baverel Christelle Gros Corinne Niogret
2000,Russia Olga Pyleva Svetlana Chernousova Galina Koukleva Albina Akhatova,Germany Uschi Disl Katrin Apel Andrea Henkel Martina Zellner,Ukraine Olena Zubrilova Olena Petrova Nina Lemesh Tetyana Vodopyanova
2001,Russia Olga Pyleva Anna Bogaliy Galina Koukleva Svetlana Ishmouratova,Germany Uschi Disl Katrin Apel Andrea Henkel Kati Wilhelm,Ukraine Olena Zubrilova Olena Petrova Nina Lemesh Tetyana Vodopyanova
2003,Russia Albina Akhatova Svetlana Ishmouratova Galina Koukleva Svetlana Chernousova,Ukraine Oksana Khvostenko Iryna Merkushina Oksana Yakovleva Olena Petrova,Germany Simone Denkinger Uschi Disl Kati Wilhelm Martina Glagow
2004,Norway Linda Tjørhom Gro Marit Istad Kristiansen Gunn Margit Andreassen Liv Grete Poirée,Russia Olga Pyleva Svetlana Ishmouratova Anna Bogaliy Albina Akhatova,Germany Martina Glagow Katrin Apel Simone Denkinger Kati Wilhelm
2005,Russia Olga Pyleva Svetlana Ishmouratova Anna Bogaliy-Titovets Olga Zaitseva,Germany Uschi Disl Katrin Apel Andrea Henkel Kati Wilhelm,Belarus Ekaterina Ivanova Olga Nazarova Liudmilla Ananko Olena Zubrilova
2007,Germany Martina Glagow Andrea Henkel Magdalena Neuner Kati Wilhelm,France Florence Baverel-Robert Delphyne Peretto Sylvie Becaert Sandrine Bailly,Norway Tora Berger Ann Kristin Flatland Jori Mørkve Linda Grubben
2008,Germany Martina Glagow Andrea Henkel Magdalena Neuner Kati Wilhelm,Ukraine Oksana Yakovleva Vita Semerenko Valentyna Semerenko Oksana Khvostenko,France Delphine Peretto Marie-Laure Brunet Sylvie Becaert Sandrine Bailly
