Club,Home city,Stadium,Finishing position last season,First season in division,First season of current spell in division
Algeciras,Algeciras,Nuevo Mirador,4th in Tercera División group 10,1977-78,2019-20
Atlético Sanluqueño,Sanlúcar de Barrameda,El Palmar,13th,1987-88,2018-19
Badajoz,Badajoz,Nuevo Vivero,4th,2017-18,2017-18
Cádiz B,Cádiz,Puntales,1st in Tercera División group 10,2019-20,2019-20
Córdoba,Córdoba,Nuevo Arcángel,21st in Segunda División,1978-79,2019-20
Don Benito,Don Benito,Vicente Sanz,15th,1988-89,2018-19
FC Cartagena,Cartagena,Cartagonova,2nd,1998-99,2012-13
Linense,La Línea,Municipal de La Línea,12th,1983-84,2011-12
Marbella,Marbella,Municipal de Marbella,7th,2003-04,2014-15
Mérida,Mérida,Romano,1st in Tercera División group 14,2015-16,2019-20
Murcia,Murcia,Nueva Condomina,11th,1992-93,2014-15
Recreativo,Huelva,Nuevo Colombino,1st,1990-91,2014-15
Recreativo Granada,Granada,Miguel Prieto,14th,2013-14,2013-14
San Fernando,San Fernando,Iberoamericano,8th,2012-13,2016-17
Sevilla Atlético,Seville,Jesús Navas,10th,1977-78,2018-19
Talavera de la Reina,Talavera de la Reina,El Prado,9th,2015-16,2017-18
UCAM Murcia,Murcia,La Condomina,5th,2012-13,2017-18
Villarrobledo,Villarrobledo,Nuestra Señora de la Caridad,3rd in Tercera División group 18,2019-20,2019-20
Villarrubia,Villarrubia de los Ojos,Nuevo Municipal,2nd in Tercera División group 18,2019-20,2019-20
Yeclano,Yecla,La Constitución,1st in Tercera División group 13,2010-11,2019-20
