Medal,Name,Games,Sport,Event
Gold,El Sayed Nosseir,1928 Amsterdam,Weightlifting,Men 's light heavyweight
Gold,Ibrahim Moustafa,1928 Amsterdam,Wrestling,Men 's Greco-Roman light heavyweight
Silver,Farid Simaika,1928 Amsterdam,Diving,Men 's 10 m platform
Bronze,Farid Simaika,1928 Amsterdam,Diving,Men 's 3 m springboard
Gold,Anwar Mesbah,1936 Berlin,Weightlifting,Men 's lightweight
Gold,Khadr El Touni,1936 Berlin,Weightlifting,Men 's middleweight
Silver,Saleh Soliman,1936 Berlin,Weightlifting,Men 's featherweight
Bronze,Ibrahim Shams,1936 Berlin,Weightlifting,Men 's featherweight
Bronze,Ibrahim Wasif,1936 Berlin,Weightlifting,Men 's light heavyweight
Gold,Mahmoud Fayad,1948 London,Weightlifting,Men 's featherweight
Gold,Ibrahim Shams,1948 London,Weightlifting,Men 's lightweight
Silver,Attia Hamouda,1948 London,Weightlifting,Men 's lightweight
Silver,Mahmoud Hassan,1948 London,Wrestling,Men 's Greco-Roman bantamweight
Bronze,Ibrahim Orabi,1948 London,Wrestling,Men 's Greco-Roman light heavyweight
Bronze,Abdel Aaal Rashed,1952 Helsinki,Wrestling,Men 's Greco-Roman featherweight
Silver,Osman Sayed,1960 Rome,Wrestling,Men 's Greco-Roman flyweight
Bronze,Abdel Moneim El-Guindi,1960 Rome,Boxing,Men 's flyweight
Silver,Mohamed Ali Rashwan,1984 Los Angeles,Judo,Men 's open
Gold,Karam Gaber,2004 Athens,Wrestling,Men 's Greco-Roman 96 kg
Silver,Mohamed Aly,2004 Athens,Boxing,Men 's super heavyweight
