Riding,Candidate 's Name,Notes,Gender
Abbotsford,David Murray,,M
British Columbia Southern Interior,Alex Atamanenko,Current Member of Parliament,M
Burnaby - Douglas,Kennedy Stewart,SFU Professor,M
Burnaby - New Westminster,Peter Julian,Current Member of Parliament,M
Cariboo - Prince George,Jon Van Barneveld,Fourth year forestry student at the University of Northern British Columbia,M
Chilliwack - Fraser Canyon,Gwen O'Mahony,Federal Candidate since April 2010,F
Delta - Richmond East,Nick Slater,,M
Esquimalt - Juan de Fuca,Randall Garrison,2004 and 2006 NDP Candidate in this riding,M
Fleetwood - Port Kells,Nao Fernando,2008 candidate in this riding,M
Kamloops - Thompson - Cariboo,Michael Crawford,2006 and 2008 candidate in this riding,M
Kelowna - Lake Country,Patricia Kalmanovitch,,F
Kootenay - Columbia,Mark Shmigelsky,,M
Langley,Piotr Majkowski,,
Nanaimo - Alberni,Zeni Maartman,2008 candidate in this riding,F
Nanaimo - Cowichan,Jean Crowder,Member of Parliament,F
Newton - North Delta,Jinny Sims,Former President of BC Teachers ' Federation,F
New Westminster - Coquitlam,Fin Donnelly,[ 1 ],M
North Vancouver,Michael Charrois,,M
Okanagan - Coquihalla,David Finnis,,M
Okanagan - Shuswap,Nikki Inouye,,F
