Season,Winner,Team,Player 's humanitarian contribution
1968-69,George Armstrong,Toronto Maple Leafs,
1969-70,Bobby Baun,Detroit Red Wings,Work with the Big Brothers of Toronto
1970-71,Jean Beliveau,Montreal Canadiens,Co-winner
1970-71,Bobby Orr,Boston Bruins,Co-winner
1971-72,Orland Kurtenbach,Vancouver Canucks,
1972-73,"Jimmy Peters , Jr",Los Angeles Kings,Co-winner
1972-73,Gary Bergman,Detroit Red Wings,Co-winner
1973-74,Ed Westfall,New York Islanders,Work with the physically and mentally handicapped
1974-75,Ted Irvine,New York Rangers,Charitable work on behalf of the mentally handicapped
1975-76,Johnny Bucyk,Boston Bruins,
1976-77,Jim Lorentz,Buffalo Sabres,Work with muscular dystrophy programs in the United States
1977-78,Bryan Watson,Washington Capitals,
1978-79,Ed Staniowski,St. Louis Blues,
1979-80,Wayne Gretzky,Edmonton Oilers,
1980-81,Ed Kea,St. Louis Blues,
1981-82,Borje Salming,Toronto Maple Leafs,
1982-83,Brad Park,Boston Bruins,Work with the Cerebral Palsy Association of Massachusetts
1983-84,Jim Peplinski,Calgary Flames,Work with the Calgary Special Olympics and Big Brothers of Calgary
