Community,Airport name,TC LID
Altona,Altona Municipal Airport,CJL6
Arborg,Arborg Airport,CJU6
Ashern,Ashern Airport,CJE7
Bakers Narrows,Flin Flon/Bakers Narrows Water Aerodrome,CFF8
Beausejour,Beausejour/AV-Ranch Airpark,CAV6
Berens River,Berens River Airport,
Big Sand Lake,Big Sand Lake Airport,CJQ9
Bissett,Bissett Water Aerodrome,CJY6
Bloodvein First Nation,Bloodvein River Airport,
Brandon,Brandon Municipal Airport ( McGill Field ),
Brochet,Brochet Airport,
Carman,Carman/Friendship Field Airport,CJB2
Carman,Carman ( South ) Airport,CJS7
Churchill,Churchill Airport,
Churchill,Churchill ( Hudson Bay Helicopters ) Heliport,CHB2
Churchill,Churchill Water Aerodrome,CJJ7
Cooks Creek,Cooks Creek Aerodrome,CCC3
Cross Lake,Cross Lake ( Charlie Sinclair Memorial ) Airport,
Crystal City,Crystal City-Pilot Mound/Louise Municipal Airport,CKZ6
Dauphin,Lt. Col W.G . ( Billy ) Barker VC Airport ( Dauphin ( Lt. Col W.G . ( Billy ) Barker VC ) Airport ),
