Date,Ship,Country,Builder,Location,Class / type
2 June,Henry T. Scott,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
2 June,Walker D. Hines,United States,Delta Shipbuilding Company,New Orleans,Liberty ship
3 June,Beloit Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
3 June,Harriet Tubman,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
3 June,Samskern,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
4 June,Betram G. Goodhue,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
5 June,M. Michael Edelstein,United States,J . A. Jones Construction Company,"Panama City , Florida",Liberty ship
5 June,Samindoro,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
6 June,Dalton Victory,United States,California Shipbuilding Corporation,Los Angeles,Victory ship
6 June,Iraq Victory,United States,"Permanente Metals , # 1 Yard","Richmond , California",Victory ship
6 June,Oliver Loving,United States,Todd Houston Shipbuilding Corporation,"Houston , Texas",Liberty ship
6 June,USS Rooks,United States,,Seattle-Tacoma,Fletcher-class destroyer
7 June,Escanaba Victory,United States,Oregon Shipbuilding Company,Portland,Victory ship
7 June,Joseph Augustin Chevalier,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
7 June,Miaoulis,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
7 June,Ovid Butler,United States,"Permanente Metals , # 2 Yard","Richmond , California",Liberty ship
7 June,William Hodson,United States,Bethlehem-Fairfield Shipyards,Baltimore,Liberty ship
7 June,William Leavitt,United States,New England Shipbuilding Company,"South Portland , Maine",Liberty ship
8 June,Noah Brown,United States,St. Johns River Shipbuilding Company,"Jacksonville , Florida",Liberty ship
8 June,Richard Upjohn,United States,Southeastern Shipbuilding Corporation,"Savannah , Georgia",Liberty ship
