Season,Player,School,Position,Class
1995-96,Danny Fortson,Cincinnati,PF,Sophomore
1996-97,Danny Fortson ( 2 ),Cincinnati,PF,Junior
1997-98,DeMarco Johnson,Charlotte,F,Senior
1998-99,Quentin Richardson,DePaul,SG / SF,Freshman
1999-00,Kenyon Martin *,Cincinnati,PF,Senior
2000-01,Steve Logan,Cincinnati,PG,Junior
2001-02,Steve Logan ( 2 ),Cincinnati,PG,Senior
2002-03,Dwyane Wade,Marquette,SG,Junior
2003-04,Antonio Burks,Memphis,PG,Senior
2004-05,Eddie Basden,Charlotte,SG / SF,Senior
2005-06,Rodney Carney,Memphis,SF,Senior
2006-07,Morris Almond,Rice,G,Senior
2007-08,Chris Douglas-Roberts,Memphis,SG,Junior
2008-09,Jermaine Taylor,UCF,G,Senior
2009-10,Randy Culpepper,UTEP,G,Junior
2010-11,Aaron Johnson,UAB,PG,Senior
2011-12,Will Barton,Memphis,SG,Sophomore
2012-13,Joe Jackson,Memphis,PG,Junior
2013-14,Shawn Jones,Middle Tennessee,PF,Senior
2014-15,Speedy Smith,Louisiana Tech,PG,Senior
