Week,Tournament,State/Country,Winner
Jan 27-30,BellSouth Panama Championship,Panama,Vance Veazey ( 3 )
Feb 17-20,Jacob 's Creek Open Championship,Australia,Steven Bowditch ( 1 )
Feb 24-27,ING New Zealand PGA Championship,New Zealand,Peter O'Malley ( 2 )
Mar 24-27,Chitimacha Louisiana Open,Louisiana,Ryan Hietala ( 1 )
Apr 21-24,Virginia Beach Open,Virginia,Troy Matteson ( 1 )
Apr 29 - May 1,BMW Charity Pro-Am at The Cliffs,South Carolina,Shane Bertsch ( 2 )
May 5-8,Rex Hospital Open,North Carolina,Eric Axley ( 1 )
May 12-15,Rheem Classic,Arkansas,Chris Couch ( 4 )
May 19-22,Henrico County Open,Virginia,Chad Collins ( 1 )
Jun 2-5,Chattanooga Classic,Tennessee,Jason Schultz ( 1 )
Jun 9-12,LaSalle Bank Open,Illinois,Chris Couch ( 5 )
Jun 16-19,Knoxville Open,Tennessee,Kim Felton ( 1 )
Jun 23-26,Northeast Pennsylvania Classic,Pennsylvania,Greg Kraft ( 1 )
Jun 30 - Jul 1,Lake Erie Charity Classic at Peek ' n Peak Resort,New York,Esteban Toledo ( 1 )
Jul 7-10,National Mining Association Pete Dye Classic,West Virginia,Jason Gore ( 4 )
Jul 14-17,Scholarship America Showdown,Wisconsin,Jason Gore ( 5 )
Jul 21-24,Canadian PGA Championship,Canada,Jon Mills ( 1 )
Jul 28-31,Preferred Health Systems Wichita Open,Kansas,Joe Daley ( 2 )
Aug 4-7,Cox Classic,Nebraska,Jason Gore ( 6 )
Aug 11-14,Price Cutter Charity Championship,Missouri,Roger Tambellini ( 2 )
