Mountain,Height ( m ),Drop ( m ),Range,Municipality ( ies ),First ascent
Dammastock,3630,1466,Uri Alps,Göschenen,1864
Galenstock,3586,252,Uri Alps,Realp,1845
Sustenhorn,3503,414,Uri Alps,Göschenen,1841
Hinter Tierberg,3477,187,Uri Alps,Göschenen,
Gwächtenhorn,3420,218,Uri Alps,Göschenen,
Fleckistock/Rot Stock,3416,760,Uri Alps,Göschenen / Wassen,1864
Oberalpstock/Piz Tgietschen,3328,703,Glarus Alps,Silenen,1793
Gross Schärhorn,3294,513,Glarus Alps,Silenen / Unterschächen,1842
Clariden,3267,413,Glarus Alps,Silenen / Spiringen,1863
Gross Düssi/Piz Git,3256,429,Glarus Alps,Silenen,1841
Rorspitzli,3220,255,Uri Alps,Göschenen / Wassen,
Chammliberg,3220,194,Glarus Alps,Silenen / Unterschächen,
Gross Spannort,3198,616,Uri Alps,Attinghausen / Erstfeld,1867
Gross Windgällen,3187,552,Glarus Alps,Silenen,1848
Hoch Horefellistock,3175,154,Uri Alps,Göschenen,
Gross Ruchen,3138,397,Glarus Alps,Silenen / Unterschächen,1864
Schlossberg,3133,506,Uri Alps,Attinghausen / Erstfeld,1863
Krönten,3108,330,Uri Alps,Erstfeld / Gurtnellen,1868
Gross Muttenhorn,3099,292,Lepontine Alps,Realp,
Piz Giuv/Schattig Wichel,3096,749,Glarus Alps,Gurtnellen / Silenen,1804
