Site,Country,Launches,Successes,Failures,Partial failures
Baikonur,Kazakhstan,25,23,2,0
Cape Canaveral,United States,7,7,0,0
Dombarovsky,Russia,1,1,0,0
Kourou,France,7,7,0,0
Jiuquan,China,6,5,1,0
Kennedy Space Center,United States,3,3,0,0
Kodiak Launch Complex,United States,1,1,0,0
MARS,United States,1,1,0,0
Ocean Odyssey,International waters,1,1,0,0
Plesetsk,Russia,6,4,2,0
Satish Dhawan,India,3,3,0,0
Semnan,Iran,1,1,0,0
Tanegashima,Japan,3,3,0,0
Taiyuan,China,4,4,0,0
Vandenberg,United States,6,5,1,0
Xichang,China,9,9,0,0
