Name,Age,Species,Year discovered,Country,Discovered by
Lothagam mandible ( KNM-LT 329 ),5.25 ± 0.25 Ma,Australopithecus ( ? ),1967,Kenya,A.D. Lewis
Ardi,4.4 Ma,Ardipithecus ramidus,1994,Ethiopia,Yohannes Haile-Selassie
KNM-LT 329,4.6 ± 0.4 Ma,Australopithecus anamensis,1967,Kenya,"Arnold Lewis , Bryan Patterson"
KNM-TH 13150,4.7 ± 0.55 Ma,Australopithecus anamensis,1984,Kenya,Kiptalam Cheboi
KNM-KP 271,4 Ma,Australopithecus anamensis,1965,"Kanapoi , Kenya",Bryan Patterson
Laetoli Footprints,3.7 Ma,Bipedal hominin,1976,Tanzania,Mary Leakey
LH 4,3.4 ± 0.5 Ma,Australopithecus afarensis,1974,"Laetoli , Tanzania",Mary Leakey
KSD-VP-1/1 ( Kadanuumuu ),3.58 Ma,Australopithecus afarensis,2005,Ethiopia,Yohannes Haile-Selassie
KT-12/H1 ( Abel ),3.5 Ma,Australopithecus bahrelghazali,1995,Chad,Mamelbaye Tomalta and Michel Brunet
KNM-WT 40000 ( Flat Faced Man ),3.5 Ma,Kenyanthropus platyops,1999,"Lake Turkana ( West Lake Turkana ) , Kenya",Justus Erus and Meave Leakey
BRT-VP-3/14,3.4 ± 0.1 Ma,Australopithecus deyiremeda,2015,Ethiopia,Yohannes Haile-Selassie
Stw 573 ( Little foot ),3.3 Ma,Australopithecus prometheus ( ? ),1994,"Sterkfontein , South Africa",Ronald J. Clarke
DIK-1 ( Selam ),3.3 Ma,Australopithecus afarensis,2000,Ethiopia,Zeresenay Alemseged
AL 288-1 ( Lucy ),3.2 Ma,Australopithecus afarensis,1974,Ethiopia,"Tom Gray , Donald Johanson , Yves Coppens and Maurice Taieb"
AL 200-1,3.1 ± 0.1 Ma,Australopithecus afarensis,1975,"Afar Region , Ethiopia",Donald Johanson Yves Coppens and Maurice Taieb
AL 129-1,3.1 ± 0.1 Ma,Australopithecus afarensis,1973,"Afar Region , Ethiopia",Donald Johanson
AL 444-2,3 Ma,Australopithecus afarensis,1992,"Afar Region , Ethiopia",Yoel Rak
LD 350-1,2.775 ± 0.025 Ma,Homo ( ? ),2013,Ethiopia,Chalachew Seyoum
