Year,Distance,Athlete,Location
1968,68.40 m ( 224 ft 4 ⁄ 4 in ),Jay Silvester ( USA ),Reno
1969,68.06 m ( 223 ft 3 ⁄ 2 in ),Rickard Bruch ( SWE ),Malmo
1970,67.14 m ( 220 ft 3 ⁄ 4 in ),Rickard Bruch ( SWE ),Malmo
1971,70.38 m ( 230 ft 10 ⁄ 4 in ),Jay Silvester ( USA ),Lancaster
1972,68.40 m ( 224 ft 4 ⁄ 4 in ),Rickard Bruch ( SWE ),Stockholm
1973,67.58 m ( 221 ft 8 ⁄ 2 in ),Rickard Bruch ( SWE ),Skellefteå
1974,68.16 m ( 223 ft 7 ⁄ 4 in ),Rickard Bruch ( SWE ),Helsingborg
1975,69.08 m ( 226 ft 7 ⁄ 2 in ),John Powell ( USA ),Long Beach
1976,70.86 m ( 232 ft 5 ⁄ 4 in ),Mac Wilkins ( USA ),San Jose
1977,69.20 m ( 227 ft ⁄ 4 in ),Mac Wilkins ( USA ),Westwood
1978,71.16 m ( 233 ft 5 ⁄ 2 in ),Wolfgang Schmidt ( GER ),Berlin
1979,70.66 m ( 231 ft 9 ⁄ 4 in ),Mac Wilkins ( USA ),Walnut
1980,70.98 m ( 232 ft 10 ⁄ 4 in ),Mac Wilkins ( USA ),Erfurt
1981,69.98 m ( 229 ft 7 in ),John Powell ( USA ),Modesto
1982,70.58 m ( 231 ft 6 ⁄ 2 in ),Luis Delís ( CUB ),Salinas
1983,71.86 m ( 235 ft 9 in ),Yuriy Dumchev ( RUS ),Moskva
1984,71.26 m ( 233 ft 9 ⁄ 2 in ),John Powell ( USA ),San Jose
1985,71.26 m ( 233 ft 9 ⁄ 2 in ),Imrich Bugár ( TCH ),San Jose
1986,74.08 m ( 243 ft ⁄ 2 in ),Jürgen Schult ( GER ),Neubrandenburg
1987,69.52 m ( 228 ft 1 in ),Jürgen Schult ( GER ),Neubrandenburg
