Member,Electorate,Affiliation,MP 's term
William Montgomery,Akaroa,Greyite,Fourth
Edward George Wright,Ashburton,Greyite,Second
William Fisher Pearson,Ashley,Greyite,First
George Grey,Auckland East,Greyite,Fourth
Thomas Peacock,Auckland North,Independent,First
Joseph Dargaville,Auckland West,Independent,First
William Rolleston,Avon,Conservative,Fifth
James Parker Joyce,Awarua,Greyite,Second
Richard Hobbs,Bay of Islands,Conservative,Second
James Rutherford,Bruce,Independent,First
John Munro,Buller,Independent Liberal,First
William Barron,Caversham,Greyite,Second
Hugh McIlraith,Cheviot,Conservative,First
Henry Thomson,Christchurch North,Conservative,First
John Holmes,Christchurch South,Greyite,First
James William Thomson,Clutha,Conservative,Fourth
David McMillan,Coleridge,Conservative,First
Alfred Cadman,Coromandel,Greyite,First
Thomas Bracken,Dunedin Central,Greyite,First
Matthew Green,Dunedin East,Independent,First
