Club,Promotions,Relegations
Zacatepec,"5 ( 1950-51 , 1962-63 , 1969-70 , 1977-78 , 1983-84 )","5 ( 1961-62 , 1965-66 , 1976-77 , 1982-83 , 1984-85 )"
Querétaro,"4 ( México '86 , 1989-90 , 2005-06 , 2009-10 )","3 ( 1993-94 , 2006-07 , 2012-13* )"
Pachuca,"4 ( 1966-67 , 1991-92 , 1995-96 , 1997-98 )","3 ( 1972-73 , 1992-93 , 1996-97 )"
Irapuato,"4 ( 1953-54 , 1984-85 , 1999-00* , 2002-03 )","2 ( 1971-72 , 1990-91 )"
Atlas,"3 ( 1954-55 , 1971-72 , 1978-79 )","3 ( 1953-54 , 1970-71 , 1977-78 )"
San Luis,"3 ( 1970-71 , 2001-02 , 2004-05 )","2 ( 1973-74 , 2002-03 )"
Puebla,"3 ( 1969-70 , 1998-99 , 2006-07 )","2 ( 1998-99 , 2004-05 )"
Unión de Curtidores,"2 ( 1982-83 , 1998-99* )","2 ( 1980-81 , 1983-84 )"
Veracruz,"2 ( 1963-64 , 2001-02 )","5 ( 1951-52 , 1978-79 , 1997-98 , 2007-08 , 2018-19 )"
Real Zamora,"2 ( 1954-55 , 1956-57 )","2 ( 1955-56 , 1959-60 )"
Tampico Madero,"2 ( 1964-65 , 1972-73 )","2 ( 1966-67 , 1974-75 )"
Atlante,"2 ( 1976-77 , 1990-91 )","3 ( 1975-76 , 1989-90 , 2013-14 )"
Monterrey,"2 ( 1955-56,1959-60 )",1 ( 1956-57 )
Morelia,"2 ( 1956-57 , 1980-81 )",1 ( 1967-68 )
UANL,"2 ( 1973-74 , 1996-97* )",1 ( 1995-96 )
León,"2 ( 1989-90 , 2011-12 )","2 ( 1986-87 , 2001-02 )"
Sinaloa,"2 ( 2003-04 , 2014-15 )","2 ( 2005-06 , 2015-16 )"
La Piedad,"2 ( 2000-01 , 2012-13* )",-
Necaxa,"2 ( 2009-10* , 2015-16 )","2 ( 2008-09 , 2010-11 )"
UAT,1 ( 1986-87 ),1 ( 1994-95 )
