Position,Player,To club,Fee
Defender,Baihakki Khaizan,Johor Darul Takzim F.C,align=right| 0
Manager,V. Sundramoorthy,Negeri Sembilan,align=right| 0
Midfielder,Hariss Harun,Johor Darul Takzim,align=right| 0
Midfielder,Shahril Ishak,Johor Darul Takzim II F.C,align=right| 0
DF,Faris Azienuddin,Courts Young Lions,align=right| 0
DF,Irwan Shah,Warriors FC,align=right| 0
DF,Ali Hudzaifi yusof,Courts Young Lions,align=right| 0
DF,Fariss Hamran,Balestier Khalsa FC,align=right| 0
Midfielder,Fazli Ayob,Home United FC,align=right| 0
Midfielder,Izzdin Shafiq,Home United FC,align=right| 0
Forward,Fazrul Nawaz,Home United FC,align=right| 0
Forward,Randy Pay,Balestier Khalsa FC,align=right| 0
Forward,Iqbal Hamid Hussain,Courts Young Lions,align=right| 0
MF,Safirul Sulaiman,Courts Young Lions,align=right| 0
GK,Muhd Neezam Abdul Aziz,Warriors FC,align=right| 0
GK,Syed Sufiyan Syed Sulaiman,Released,align=right| 0
