Call letters,Channel,Network ( s ),City and state
KXAN-TV,21 PSIP 36,NBC,"Austin , Texas"
KXAS-TV,24 PSIP/cable 5,5.1 NBC,"Fort Worth , Texas"
KXGN-TV,5 PSIP 5,"CBS , NBC","Glendive , Montana"
KXII,12 PSIP 12,12.1 CBS 12.2 MyNetworkTV 12.3 Fox,"Sherman , Texas"
KXLA,30 PSIP 44,Ethnic/ independent,"Rancho Palos Verdes , California"
KXLF-TV,5 PSIP 4,4.1 CBS 5.2 The CW,"Butte , Montana"
KXLN-DT,30 PSIP 45,Univision,"Rosenberg , Texas"
KXLT-TV,26 PSIP 47,47.1 Fox 47.2 MeTV,"Rochester , Minnesota"
KXLY-TV,13 PSIP 4,4.1 ABC 11.2 KXMN-LP,"Spokane , Washington"
KXMA-TV,19 PSIP 2,2.1 CBS 19.2 ABC,"Dickinson , North Dakota"
KXMB-TV,12 PSIP 12,CBS,"Bismarck , North Dakota"
KXMC-TV,13 PSIP 13,CBS,"Minot , North Dakota"
KXMD-TV,14 PSIP 11,11.1 CBS 14.2 ABC,"Williston , North Dakota"
KXNE-TV,19 PSIP 19,PBS,"Norfolk , Nebraska"
KXNW,25 PSIP 34,34.1 MyNetworkTV / Antenna TV 34.2 CBS,"Eureka Springs , Arkansas"
KXRM-TV,22 PSIP 21,21.1 Fox 20.2 KXTU-LD,"Colorado Springs , Colorado"
KXTF,34 PSIP 35,Dark,"Twin Falls , Idaho"
KXTV,10 PSIP 10,ABC,"Sacramento , California"
KXTX-TV,36 PSIP 39,Telemundo,"Dallas , Texas"
KXVA,15 PSIP 15,15.1 Fox,"Abilene , Texas"
