Delegation,City,Type,Website
Armenia,Rostov-on-Don,Consulate-General,-
Armenia,Sochi,Consular station,-
Belarus,Kaliningrad,Branch,-
Belarus,Khabarovsk,Branch,-
Belarus,Krasnodar,Branch,-
Belarus,Nizhniy Novgorod,Branch,-
Belarus,Novosibirsk,Branch,-
Belarus,Smolensk,Branch,-
Belarus,Tyumen,Branch,-
Belarus,Ufa,Branch,-
China,Irkutsk,Consulate-General,link
China,Khabarovsk,Consulate-General,link
China,Vladivostok,Consular-General,link
China,Kazan,Consulate-General,link
Cyprus,Krasnodar,Consulate-General,link
Cyprus,Samara,Consulate-General,link
Estonia,Pskov,Consulate-General Chancery,-
Finland,Murmansk,Consulate-General Branch,-
Finland,Petrozavodsk,Consulate-General Branch,-
Germany,Kaliningrad,Consulate-General,link
