Club,League/Division,Lvl,State,City
Garuda,Northern Zone All Age,3,Northern Territory,Darwin
Gawler,National Premier Leagues State League 2,4,South Australia,Gawler
Gazy Auburn,NSW State League,5,New South Wales,Sydney
Geelong,Victorian State League Division 1,4,Victoria,Geelong
Geelong Rangers,Victorian State League Division 2,5,Victoria,Geelong
Gillen Scorpions,Southern Zone Premier League,2,Northern Territory,Alice Springs
Gisborne,Victorian State League Division 5,8,Victoria,Gisborne
Glen Waverley,Victorian State League Division 5,8,Victoria,Melbourne
Glenorchy Knights,Southern Championship,3,Tasmania,Hobart
GHFA Spirit,National Premier Leagues NSW 2,3,New South Wales,Sydney
Gladesville Ryde Magic,National Premier Leagues NSW 3,4,New South Wales,Sydney
Granville Rage,National Premier Leagues NSW 4,5,New South Wales,Sydney
Green Gully,National Premier Leagues Victoria,2,Victoria,Melbourne
Gold Coast City,National Premier Leagues Queensland,2,Queensland,Gold Coast
Gold Coast United,National Premier Leagues Queensland,3,Queensland,Gold Coast
Golden Plains,Victorian State League Division 4,7,Victoria,Bannockburn
Gosnells City,Football West State League Division 1,3,Western Australia,Perth
Goulburn Stags,State League Division 2,5,Australian Capital Territory,Goulburn
Goulburn Strikers,State League Division 1,4,Australian Capital Territory,Goulburn
Goulburn Valley Suns,National Premier Leagues Victoria 2,3,Victoria,Shepparton
