Games,Gold,Silver,Bronze
1960 Squaw Valley details,Klas Lestander Sweden,Antti Tyrväinen Finland,Aleksandr Privalov Soviet Union
1964 Innsbruck details,Vladimir Melanin Soviet Union,Aleksandr Privalov Soviet Union,Olav Jordet Norway
1968 Grenoble details,Magnar Solberg Norway,Alexander Tikhonov Soviet Union,Vladimir Gundartsev Soviet Union
1972 Sapporo details,Magnar Solberg ( 2 ) Norway,Hansjörg Knauthe East Germany,Lars-Göran Arwidson Sweden
1976 Innsbruck details,Nikolay Kruglov Soviet Union,Heikki Ikola Finland,Aleksandr Elizarov Soviet Union
1980 Lake Placid details,Anatoly Alyabyev Soviet Union,Frank Ullrich East Germany,Eberhard Rösch East Germany
1984 Sarajevo details,Peter Angerer West Germany,Frank-Peter Roetsch East Germany,Eirik Kvalfoss Norway
1988 Calgary details,Frank-Peter Roetsch East Germany,Valeriy Medvedtsev Soviet Union,Johann Passler Italy
1992 Albertville details,Evgeny Redkin Unified Team,Mark Kirchner Germany,Mikael Löfgren Sweden
1994 Lillehammer details,Sergei Tarasov Russia,Frank Luck Germany,Sven Fischer Germany
1998 Nagano details,Halvard Hanevold Norway,Pieralberto Carrara Italy,Alexei Aidarov Belarus
2002 Salt Lake City details,Ole Einar Bjørndalen Norway,Frank Luck Germany,Viktor Maigourov Russia
2006 Turin details,Michael Greis Germany,Ole Einar Bjørndalen Norway,Halvard Hanevold Norway
2010 Vancouver details,Emil Hegle Svendsen Norway,Ole Einar Bjørndalen Norway Sergey Novikov Belarus,None awarded
2014 Sochi details,Martin Fourcade France,Erik Lesser Germany,Evgeniy Garanichev Russia
2018 Pyeongchang details,Johannes Thingnes Bø Norway,Jakov Fak Slovenia,Dominik Landertinger Austria
