Season,Player,School,Position,Class
1991,Gino Torretta,Miami,QB,Jr
1992 *,Gino Torretta ( 2 ),Miami,QB,Sr
1993,Glenn Foley,Boston College,QB,Sr
1994,Billy West,Pittsburgh,RB,So
1995,Marco Battaglia,Rutgers,TE,Sr
1996,Jim Druckenmiller,Virginia Tech,QB,Sr
1996,Donovan McNabb,Syracuse,QB,So
1997,Donovan McNabb ( 2 ),Syracuse,QB,Jr
1998,Donovan McNabb ( 3 ),Syracuse,QB,Sr
1999,Michael Vick,Virginia Tech,QB,Fr
2000,Antonio Bryant,Pittsburgh,WR,So
2000,Santana Moss,Miami,WR,Sr
2000,Lee Suggs,Virginia Tech,RB,So
2001,William Green,Boston College,RB,Jr
2001,Ken Dorsey,Miami,QB,Jr
2002,Ken Dorsey ( 2 ),Miami,QB,Sr
2002,Willis McGahee,Miami,RB,So
2003,Larry Fitzgerald,Pittsburgh,WR,So
2004,Rasheed Marshall,West Virginia,QB,Sr
2005,Brian Brohm,Louisville,QB,So
