Site,Municipality,Comments,Type,Ref
* Ōyu Stone Circles 大湯環状列石 Ōyu kanjōresseki,Kazuno,"submitted for inscription on the UNESCO World Heritage List as one of the Jōmon Archaeological Sites in Hokkaidō , Northern Tōhoku , and other regions",1,268
Isedōtai Site 伊勢堂岱遺跡 Isedōtai iseki,Kita-Akita,"submitted for inscription on the UNESCO World Heritage List as one of the Jōmon Archaeological Sites in Hokkaidō , Northern Tōhoku , and other regions",1,3277
Iwaidō Caves 岩井堂洞窟 Iwaidō dōkutsu,Yuzawa,,1,272
Akita Castle ruins 秋田城跡 Akita-jō ato,Akita,,2,267
Sugisawadai ruins 杉沢台遺跡 Sugisawadai iseki,Noshiro,,1,274
Ōtoriiyama ruins 大鳥井山遺跡 Ōtoriiyama iseki,Yokote,fortified C10/11 residence,2,00003656
Jizōden ruins 地蔵田遺跡 Jizōden iseki,Akita,,1,276
Hotta Palisade ruins 払田柵跡 Hotta-no-saku ato,"Daisen , Misato",early Heian fortified city ; growth rings have been dated to 801,2,260
Hirata Atsutane grave 平田篤胤墓 Hirata Atsutane no haka,Akita,,7,264
Yuri Coast Seawall 由利海岸波除石垣 Yuri kaigan namiyoke ishigaki,Nikaho,"Edo-period barrier against the waves , salt spray , and strong winds",6,277
Wakimoto Castle ruins 脇本城 跡 Wakimoto-jō ato,Oga,,2,3399
Hiyama Andō Clan Fortified Residence ruins 檜山安東氏城館跡 Hiyama Andō-shi jōkan ato,Noshiro,"designation includes the sites of Hiyama Castle ( 檜山城跡 ) , the great hall ( 大館跡 ) , and Chausu hall ( 茶臼館跡 )",2,273
Mount Chōkai 鳥海山 Chōkaisan,"Yurihonjō , Nikaho",designation includes an area of Yuza in Yamagata Prefecture,3,00003566
