Title,Director,Country,Genre,Cast
"The Adventures of Priscilla , Queen of the Desert",Stephan Elliott,Australia,"Musical , comedy , drama","Terence Stamp , Daniel Kellie , Hugo Weaving , Guy Pearce , Leighton Picken , Bill Hunter , Sarah Chadwick , Mark Holmes , Julia Cortez and Ken Radley"
Bar Girls,Marita Giovanni,United States,Drama,"Nancy Allison Wolfe , Liza D'Agostino , Camila Griggs , Michael Harris , Justine Slater , Lisa Parker , Pam Raines , Paula Sorge , Cece Tsou , Caitlin Stansbury , Patti Sheehan , Lee Everett , Betsy Burke , Laurie Jones and Chaz Bono ( credited as Chastity Bono )"
Belle al Bar,Alessandro Benvenuti,Italy,Comedy,"Alessandro Benvenuti , Eva Robin 's"
Color of Night,Richard Rush,United States,Thriller,"Bruce Willis , Jane March"
"Boys Life : Three Stories of Love , Lust , and Liberation","Robert Lee King , Raoul O'Connell , Brian Sloan",United States,Drama,"James Andrews , Mary Beth Aylesworth , Mike Barbour , Steve Bilich , Wendy Brokaw , Bojesse Christopher , Dennis Christopher , Adrian Davey , Kimberly Flynn , Richard Foster , Will Gorgess , Terry Herrington , Nick Kokotakis , Russell Scott Lewis and Matt Nolan"
Coming Out Under Fire,Arthur Dong,United States,Documentary,narrator Salome Jens
Ed Wood,Tim Burton,United States,"Comedy , drama","Johnny Depp , Martin Landau , Sarah Jessica Parker , Patricia Arquette , Lisa Marie , Jeffrey Jones , Max Casella , Brent Hinkley , Bill Murray , George The Animal Steele , Juliet Landau , Ned Bellamy , Mike Starr , Stanley DeSantis , Rance Howard , Vincent D'Onofrio , Korla Pandit , Gregory Walcott and Conrad Brooks"
"Fast Trip , Long Drop",Gregg Bordowitz,United States,Documentary,
Four Weddings and a Funeral,Mike Newell,United Kingdom,"Romance , comedy , drama","Hugh Grant , Andie MacDowell , James Fleet , Simon Callow , John Hannah , Kristin Scott Thomas , David Bower , Charlotte Coleman , Timothy Walker , Sara Crowe , Rowan Atkinson , David Haig , Sophie Thompson , Corin Redgrave and Anna Chancellor"
A Friend of Dorothy,Raoul O'Connell,United States,"Short , drama","Raoul O'Connell , Ann Russo ( credited as Ann Zupa ) , Kevin McClatchy , Greg Lauren , Steven Brinberg , Thomas Lennon ( credited as Tom Lennon ) , Tom Hickey , Jerry Haggerty , Bianca , Reggie Cabico , Aimee Cummins , Sara Goodman , Matt Kapp , Ross Kennett and Drew Lee"
Go Fish,Rose Troche,United States,"Romance , drama","Guinevere Turner , V.S . Brodie , T. Wendy McMillan , Anastasia Sharp , Migdalia Melendez , Scout and Dave Troche"
Heavenly Creatures,Peter Jackson,United Kingdom Germany New Zealand,"Crime , drama","Melanie Lynskey , Kate Winslet , Sarah Peirse , Diana Kent , Clive Merrison , Simon O'Connor , Jed Brophy , Peter Elliott , Gilbert Goldie and Elizabeth Moody"
I Like It Like That,Darnell Martin,United States,"Romance , comedy , drama","Lauren Vélez , Jon Seda , Tomas Melly , Desiree Casado , Isaiah Garcia ( credited as Isiah Garcia ) , Jesse Borrego , Lisa Vidal , Griffin Dunne , Rita Moreno , Vincent Laresca , Elvis Nolasco ( credited as E.O . Nolasco ) , Sammy Melendez , Jose Soto , Gloria Irizarry , Emilio Del Pozo and Jerry Rivera"
"I Like You , I Like You Very Much",Hiroyuki Oki,Japan,Drama,"Chano , Hisanori Kitakaze , Naoya Matsumae , Kazufumi Nishimoto , Hiroyuki Oki , Kazunori Shibuya , Tomoko Taka and Yoji Tanaka"
Interview with the Vampire,Neil Jordan,United States,"Drama , horror","Tom Cruise , Brad Pitt , Christian Slater , Kirsten Dunst , Antonio Banderas , Stephen Rea , Domiziana Giordano , Thandie Newton , George Kelly , Marcel Iureş , Sara Stockbridge and Indra Ové"
The Last Supper,Cynthia Roberts,Canada,Drama,"Daniel MacIvor , Ken McDougall and J.D . Nicholsen"
A Man of No Importance,Suri Krishnamma,Ireland United Kingdom,"Comedy , drama","Albert Finney , Brenda Fricker , Michael Gambon , David Kelly , Tara FitzGerald , Rufus Sewell , Patrick Malahide , Mick Lally , Anna Manahan , Joe Pilkington , Brendan Conroy , Joan O'Hara , Eileen Reid , Eileen Conroy , Maureen Egan , Jonathan Rhys-Meyers , Enda Oates , Maureen Mc Arthur and Paudge Behan"
"Maybe , Maybe Not",Sönke Wortmann,Germany,Comedy,"Til Schweiger , Katja Riemann , Joachim Król , Rufus Beck , Armin Rohde , Martina Gedeck , Kai Wiesinger , Monty Arnold , Martin Armknecht and Mike Reichenbach"
Oh ! My Three Guys,Derek Chiu,Hong Kong,"Comedy , drama","Eric Kot , Sean Lau ( credited as Ching Wan Lau ) , Dayo Wong"
Pigalle,Karim Dridi,France,"Crime , drama , musical","Véra Briole , Francis Renaud , Raymond Gil , Bobby Pacha , Blanca Li , Philippe Ambrosini , Younesse Boudache , Jean-Michel Fête , Christian Saunier , Christian Auger , Olindo Cavadini and Patrick Chauvel"
