Team,Location,Stadium,Stadium capacity
AIK,Stockholm,Skytteholms IP,"3,000"
Djurgårdens IF,Stockholm,Kristinebergs IP,930
Kopparbergs/Göteborg FC,Gothenburg,Valhalla IP,"3,000"
Jitex BK,Mölndal,Åbyvallen,"2,000"
Kristianstads DFF,Kristianstad,Vilans IP,"5,000"
Linköpings FC,Linköping,Folkungavallen,"8,000"
LdB FC Malmö,Malmö,Malmö IP,"6,800"
Piteå IF,Piteå,LF Arena,"3,000"
Tyresö FF,Tyresö,Tyresövallen,"3,500"
Umeå IK,Umeå,T3 Arena,"8,000"
Vittsjö GIK,Vittsjö,Vittsjö IP,"1,500"
KIF Örebro DFF,Örebro,Behrn Arena,"13,500"
