City,Region,Country,Date
Medellín,Antioquia,Colombia,February 2008
Bello,Antioquia,Colombia,July 2008
Zapatoca,Santander,Colombia,February 2008
La Tebaida,Quindío,Colombia,November 2012
Mouans-Sartoux,Alpes-Maritimes,France,December 2004
Bully-les-Mines,Pas-de-Calais,France,December 2006
Montignac,Dordogne,France,November 2007
Joucou,Aude,France,July 2009
Póvoa de Varzim,Porto,Portugal,July 2017
Viana do Castelo,Viana do Castelo,Portugal,December 2008
Carrizal,Miranda,Venezuela,October 2008
Caracas,Distrito Capital,Venezuela,April 2009
Valera,Trujillo,Venezuela,August 2011
Concepción,"Concepción , Junín",Peru,June 2012
Junín,"Junín , Junín",Peru,July 2012
Teocelo,Veracruz,Mexico,July 2012
Coslada,Madrid,Spain,2005
Basauri,Basque Country,Spain,June 2008
Castrillón,Asturias,Spain,July 2008
Costitx,"Mallorca , Balearic Islands",Spain,July 2009
