Title,Russian title,Director,Cast,Genre
Admiral,Адмиралъ,Andrei Kravchuk,"Konstantin Khabensky , Elizaveta Boyarskaya , Sergey Bezrukov",Historical drama
Alexander,Александр . Невская битва,Igor Kalyonov,Anton Pampushnyy,"Historical , action"
At Sea,На море,Jaroslav Chevazhevsky,,Comedy
The Best Movie,Самый лучший фильм,Kirill Kuzin,"Garic Kharlamov , Mikhail Galustyan , Pavel Volya",Comedy
Black Hunters,Мы из бу́дущего,Andrey Malyukov,"Danila Kozlovsky , Andrey Terentev",Science-fiction
"Everybody Will Die , And I Shall Remain","Все умрут , а я останусь","Agniya Kuznetsova , Polina Filonenko",Valeriya Gai Germanika,Drama
The Ghost,Домовой,Karen Oganesyan,"Konstantin Khabensky , Vladimir Mashkov , Chulpan Khamatova",Thriller
Hipsters,Стиляги,Valery Todorovsky,"Anton Shagin , Oksana Akinshina , Evgeniya Khirivskaya",Musical comedy
The Inhabited Island,Обитаемый остров,Fyodor Bondarchuk,"Vasiliy Stepanov , Yuliya Snigir , Pyotr Fyodorov",Science fiction
Morphine,Морфий,Aleksei Balabanov,"Leonid Bichevin , Ingeborga Dapkūnaitė , Andrei Panin",Drama
Paper Soldier,Бумажный солдат,Aleksey German,"Merab Ninidze , Chulpan Khamatova",Drama
Philosophy of a Knife,Философия ножа,Andrey Iskanov,"Yukari Fujimoto , Yumiko Fujiwara","Horror , Documentary"
Hitler goes Kaput !,Гитлер капут !,Marius Waisberg,"Pavel Derevyanko , Anna Semenovich",Comedy
Once Upon a Time in the Provinces,Однажды в провинции,Katya Shagalova,"Leonid Bichevin , Elvira Bolgova , Yuliya Peresild",Drama
Plus One,Плюс один,Oksana Bychkova,"Madeleine Dzhabrailova , Jethro Skinner",Drama
The Vanished Empire,Исчезнувшая империя,Karen Shakhnazarov,"Armen Dzhigarkhanyan , Alexander Lyapin",Drama
Wild Field,Дикое поле,Mikheil Kalatozishvili,"Oleg Dolin , Roman Madyanov , Yuriy Stepanov",Drama
Yuri 's Day,Юрьев день,Kirill Serebrennikov,Kseniya Rappoport,Drama
