Pos,No,Driver,Constructor,Time,Gap
1,1,Michael Schumacher,Ferrari,1:26.890,
2,5,Damon Hill,Williams - Renault,1:27.105,+0.215
3,6,Jacques Villeneuve,Williams - Renault,1:27.220,+0.330
4,8,David Coulthard,McLaren - Mercedes,1:27.688,+0.798
5,3,Jean Alesi,Benetton - Renault,1:28.009,+1.119
6,2,Eddie Irvine,Ferrari,1:28.205,+1.315
7,4,Gerhard Berger,Benetton - Renault,1:28.336,+1.446
8,19,Mika Salo,Tyrrell - Yamaha,1:28.423,+1.533
9,11,Rubens Barrichello,Jordan - Peugeot,1:28.632,+1.742
10,15,Heinz-Harald Frentzen,Sauber - Ford,1:28.785,+1.895
11,7,Mika Häkkinen,McLaren - Mercedes,1:29.079,+2.189
12,12,Martin Brundle,Jordan - Peugeot,1:29.099,+2.209
13,9,Olivier Panis,Ligier - Mugen-Honda,1:29.472,+2.582
14,17,Jos Verstappen,Footwork - Hart,1:29.539,+2.649
15,14,Johnny Herbert,Sauber - Ford,1:29.541,+2.651
16,18,Ukyo Katayama,Tyrrell - Yamaha,1:29.892,+3.002
17,10,Pedro Diniz,Ligier - Mugen-Honda,1:29.989,+3.099
18,20,Pedro Lamy,Minardi - Ford,1:30.471,+3.581
19,21,Giancarlo Fisichella,Minardi - Ford,1:30.814,+3.924
20,16,Ricardo Rosset,Footwork - Hart,1:31.316,+4.426
