School,Nickname,City,State,
Canisius,Golden Griffins,Buffalo,New York,1918-1949 ; 1975-2002
Creighton,Bluejays,Omaha,Nebraska,1900-1942
DePaul,Blue Demons,Chicago,Illinois,-1939
Detroit Mercy,Titans,Detroit,Michigan,1896-1963
Gonzaga,Gonzaga Bulldogs football,Spokane,Washington,1892-1941
La Salle,Explorers,Philadelphia,Pennsylvania,1931-2007
Loyola Marymount,Loyola,Los Angeles,California,1889-1951
Manhattan,Manhattan,New York City,New York,1924-1942
Marquette,Golden Avalanche,Milwaukee,Wisconsin,1892-1960
Portland,Pilots,Portland,Oregon,-1949
Saint Louis,Billikens,St. Louis,Missouri,1899-1949
Saint Mary 's ( CA ),Gaels,Moraga,California,1892-1950 ; 1993-2003
San Francisco,Dons,San Francisco,California,1917-1951 ; __-1982
Santa Clara,Broncos,Santa Clara,California,1896-1952 ; 1959-1992
Xavier,Musketeers,Cincinnati,Ohio,1901-1973
