"UK , Japan",US,Title,Composed by,Length
1,1,Allegretto,"Karl Jenkins , arr and Produced : The Beatmasters",3:54
2,2,Shine,Magnus Fiennes,3:58
3,3,Fuego,Tonči Huljić,2:59
4,4,Strange Paradise,Magnus Fiennes,4:29
5,5,Speed,"Stuart Crichton , arr . Stuart 7 mix",3:40
6,6,Big Love Adagio,"Tomaso Albinoni , arr . Magnus Fiennes / Stuart Crichton / bond",4:58
7,7,Kashmir,Robert Plant / Jimmy Page . arr and Produced : The Beatmasters,5:08
8,8,Gypsy Rhapsody,Tonči Huljić . arr and Produced : The Beatmasters,3:35
9,9,Libertango,Ástor Piazzolla,3:43
10,10,Sahara,Haylie Ecker,5:21
11,11,Ride,Eos Chater,4:10
12,12,Space,Martin Glover /Paul Carter/ Manda Glanfield . arr and Produced : The Beatmasters,4:56
13,,Odyssey,Tania Davis arr . by Tania Davis and Brian Gascoigne,4:38
14,13,Bond On Bond,"Monty Norman ( adapted from the James Bond theme ) , arr . Adapted Wherry",3:03
