Institution,Location,Founded,Affiliation,Nickname,Population
Cebu Eastern College,Cebu City,1915,"Private , Non-sectarian",Dragons,-- -
Cebu Institute of Technology - University,Cebu City,1946,"Private , Non-sectarian",Wildkittens,-- -
Don Bosco Technology Center,Cebu City,1954,"Private , Salesian",Baby Greywolves,-- -
Sacred Heart School - Ateneo de Cebu,Mandaue City,1955,"Private , Jesuits",Magis Eagles,-- -
Southwestern University PHINMA,Cebu City,1946,"Private , Non-sectarian",Baby Cobras,-- -
University of Cebu,Cebu City,1964,"Private , Non-sectarian",Junior Webmasters,-- -
University of Cebu - Lapu-Lapu and Mandaue Campus,Mandaue City,1995,"Private , Non-sectarian",UCLM Junior Webmasters,-- -
University of San Carlos,Cebu City,1595,"Private , Society of the Divine Word",Baby Warriors,-- -
University of San Jose-Recoletos,Cebu City,1947,"Private , Augustinian Recollect",Baby Jaguars,-- -
University of Southern Philippines Foundation,Cebu City,1927,"Private , Non-sectarian",Baby Panthers,-- -
University of the Visayas,Cebu City,1919,"Private , Non-sectarian",Baby Lancers,-- -
