Team,Location,Stadium,Capacity
Becamex Bình Dương,Thủ Dầu Một,Gò Đậu Stadium,"18,250"
Đồng Tâm Long An,"Tân An , Long An",Long An Stadium,"19,975"
Đồng Tháp,Cao Lãnh,Cao Lãnh Stadium,"23,000"
Hòa Phát Hà Nội,Hanoi,Hàng Đẫy Stadium,"22,500"
Hoàng Anh Gia Lai,Pleiku,Pleiku Stadium,"15,000"
Khatoco Khánh Hòa,Nha Trang,Nha Trang Stadium,"25,000"
Lam Sơn Thanh Hóa,Thanh Hóa,Thanh Hóa Stadium,"14,000"
Megastar Nam Định,Nam Định,Thiên Trường Stadium,"30,000"
Navibank Sài Gòn,Ho Chi Minh City,Thống Nhất Stadium,"25,000"
SHB Đà Nẵng,Da Nang,Chi Lăng Stadium,"30,000"
Sông Lam Nghệ A,Vinh,Vinh Stadium,"22,000"
T & T Hà Nội,Hanoi,Hàng Đẫy Stadium,"22,500"
Xi Măng Hải Phòng,Hai Phong,Lạch Tray Stadium,"28,000"
XM The Vissai Ninh Bình,Ninh Bình,Ninh Bình Stadium,"22,000"
