Postcode district,Post town,Coverage,Local authority area
HP1,HEMEL HEMPSTEAD,"Bourne End , Boxmoor , Chaulden , Fields End , Gadebridge , Great Gaddesden , Nettleden , Piccotts End , Water End , Warner 's End",Dacorum
HP2,HEMEL HEMPSTEAD,"Gaddesden Row , Piccotts End , Grovehill , Adeyfield , Hemel Hempstead Industrial Estate",Dacorum
HP3,HEMEL HEMPSTEAD,"Apsley , Bovingdon , Felden , Flaunden , Hemel Hempstead , Leverstock Green",Dacorum
HP4,BERKHAMSTED,"Berkhamsted , Dagnall , Dudswell , Little Gaddesden , Northchurch , Potten End , Ringshall","Dacorum , Aylesbury Vale"
HP5,CHESHAM,"Chesham , Ashley Green , Bellingdon , Botley , Chartridge , Hawridge , Latimer , Lye Green , Newtown , Waterside , Whelpley Hill",Chiltern
HP6,AMERSHAM,"Amersham ( north ) , Chesham Bois , Hyde Heath , Little Chalfont ( north )",Chiltern
HP7,AMERSHAM,"Amersham ( south ) , Coleshill , Little Chalfont ( west and centre ) , Little Missenden , Penn Street , Winchmore Hill",Chiltern
HP8,CHALFONT ST. GILES,"Chalfont St Giles , Little Chalfont ( south )",Chiltern
HP9,BEACONSFIELD,"Beaconsfield , Forty Green , Holtspur , Jordans , Knotty Green , Seer Green","South Bucks , Chiltern"
HP10,HIGH WYCOMBE,"High Wycombe , Flackwell Heath , Handy Cross , Hedsor , Loudwater , Penn , Tylers Green , Wooburn , Wooburn Green , Wooburn Moor","Wycombe , Chiltern"
HP11,HIGH WYCOMBE,Wycombe Marsh,Wycombe
HP12,HIGH WYCOMBE,"High Wycombe , Booker , Sands",Wycombe
HP13,HIGH WYCOMBE,"High Wycombe , Downley , Totteridge",Wycombe
HP14,HIGH WYCOMBE,"Beacon 's Bottom , Bledlow Ridge , Bolter End , Bradenham , Cadmore End , Hughenden Valley , Ibstone , Lane End , Naphill , Northend , Stokenchurch , The City , Upper North Dean , West Wycombe",Wycombe
HP15,HIGH WYCOMBE,"Cryers Hill , Great Kingshill , Hazlemere , Holmer Green , Hughenden Valley","Wycombe , Chiltern"
HP16,GREAT MISSENDEN,"Great Missenden , Ballinger , The Lee , Little Hampden , Little Kingshill , Prestwood , South Heath","Chiltern , Wycombe"
HP17,AYLESBURY,"Aston Sandford , Bishopstone , Butler 's Cross , Dinton , Dorton , Ellesborough , Ford , Great and Little Kimble , Kingsey , Haddenham , Meadle , Nash Lee , Stone , Upton , Westlington","Aylesbury Vale , Wycombe"
HP18,AYLESBURY,"Ashendon , Berryfields , Boarstall , Brill , Chearsley , Chilton , Cuddington , Dorton , Easington , Edgcott , Grendon Underwood , Ickford , Kingswood , Long Crendon , Lower Winchendon , Ludgershall , Oakley , Shabbington , Upper Winchendon , Waddesdon , Westcott , Worminghall , Wotton Underwood",Aylesbury Vale
HP19,AYLESBURY,"Aylesbury , Berryfields , Buckingham Park , Fairford Leys , Prebendal Farm , Quarrendon , Watermead",Aylesbury Vale
HP20,AYLESBURY,"Aylesbury , Aylesbury Town Centre , Broughton , Elmhurst",Aylesbury Vale
