Position,Name,Team,Selectors
Quarterback,John Coatta,Wisconsin,"AP , UP"
Halfback,Johnny Karras,Illinois,"AP , UP"
Halfback,Paul Giel,Minnesota,AP
Halfback,Vic Janowicz,Ohio State,UP
Fullback,Bill Reichardt,Iowa,"AP , UP"
End,Lowell Perry,Michigan,"AP , UP"
End,Rex Smith,Illinois,AP
End,Leo Sugar,Purdue,"AP [ defensive end ] , UP [ end ]"
Tackle,Tom Johnson,Michigan,"AP , UP"
Tackle,Chuck Ulrich,Illinois,"AP , UP"
Guard,Don MacRae,Northwestern,"AP , UP"
Guard,Chuck Studley,Illinois,"AP , UP"
Center,Wayne Robinson,Minnesota,AP
Center,Chuck Boerio,Illinois,"AP [ linebacker ] , UP [ center ]"
