Position,Name,School,ABCA,BA
Pitcher,Tony Arnold,Texas,Y,Y
Pitcher,Neal Heaton ( 2 ) ♦,Miami,Y,Y
Pitcher,Kendall Carter,Arizona State,-,Y
Pitcher,Frank Viola,St. John 's,-,Y
Catcher,Tom Nieto,Oral Roberts,Y,Y
First baseman,Phil Stephenson ♦,Wichita State,Y,Y
Second baseman,Byron Horn,Eastern Michigan,Y,-
Second baseman,Jeff Ronk,Cal,-,Y
Third baseman,Mike Sodders,Arizona State,Y,Y
Shortstop,Dan Davidsmeier,USC,Y,-
Shortstop,Bobby Meacham,San Diego State,Y,-
Outfielder,Mike Fuentes ( 2 ),Florida State State,Y,Y
Outfielder,Joe Carter ♦,Wichita State,-,Y
Outfielder,John Christensen,Cal State Fullerton,-,Y
Outfielder,Mark Gillaspie,Mississippi State,Y,-
Outfielder,Kevin Romine,Arizona State,Y,-
Designated hitter,Phil Strom,Utah,Y,-
Designated hitter,Franklin Stubbs,Virginia Tech,-,Y
