Rank,Metropolitan area,Principal city,"10,000+ places",Densest incorporated place,Density
1,New York City,New York City,55,Guttenberg,"56,012.0"
2,Greater Los Angeles Area,Los Angeles,27,Maywood,"23,887.2"
3,Delaware Valley,Philadelphia,13,Millbourne,"16,557.1"
4,Miami metropolitan area,Miami,7,North Bay Village,"20,267.1"
5,Greater Boston,Boston,7,Somerville,"18,868.1"
6,Chicago Metropolitan Area,Chicago,7,Stone Park,"15,378.2"
7,San Francisco Bay Area,San Francisco / San Jose,6,San Francisco,"17,246.4"
8,Washington Metropolitan Area,"Washington , D.C",3,Mount Rainier,"13,038.5"
9,Pittsburgh metropolitan area,Pittsburgh,3,Pennsbury Village,"12,710.3"
10,Louisville-Jefferson County metropolitan area,Louisville,1,Poplar Hills,"17,036.0"
11,Providence metropolitan area,Providence,1,Central Falls,"15,652.0"
12,Dallas-Fort Worth Metroplex,Dallas,1,Mobile City,"11,911.3"
13,Buffalo-Niagara Falls metropolitan area,Buffalo,1,Kenmore,"11,437.2"
14,Portland metropolitan area,Portland,1,Johnson City,"11,061.5"
15,Metro Detroit,Detroit,1,Hamtramck,"10,900.5"
16,Greater Cleveland,Cleveland,1,Lakewood,"10,208.5"
