Newspaper,Language,Owner,Website,Av . dist . ( 2011 )
The Brussels Times,English,The Brussels Times,brusselstimes.com,NA
Het Belang van Limburg,Dutch,Concentra,hbvl.be,"100,113"
Gazet van Antwerpen,Dutch,Concentra,gva.be,"101,559"
Het Laatste Nieuws,Dutch,De Persgroep,hln.be,"288,898"
Metro,Dutch,Mass Transit Media,metrotime.be,"130,968"
De Morgen,Dutch,De Persgroep,demorgen.be,"55,870"
Het Nieuwsblad ( incl . De Gentenaar ),Dutch,Corelio,nieuwsblad.be/,"264,961"
De Standaard,Dutch,Corelio,standaard.be,"95,746"
De Tijd,Dutch,Mediafin,tijd.be,"37,720"
L'Avenir,French,Tecteo,lavenir.net,"94,118"
La Libre Belgique,French,Groupe IPM,lalibre.be,"42,410"
La Dernière Heure,French,Groupe IPM,dhnet.be,"62,427"
L'Echo,French,Mediafin,lecho.be,"17,170"
Metro,French,Mass Transit Media,metrotime.be,"116,022"
Le Soir,French,Rossel et Cie,lesoir.be,"82,044"
SudPresse newspapers*,French,Rossel et Cie,sudpresse.be,"115,853"
Grenz-Echo,German,Grenz-Echo Verlag,grenzecho.be,"12,079"
