Member,Electorate,Affiliation,MP 's term,Election date
William Montgomery,Akaroa,Greyite,Third,1 September
William Sefton Moorhouse,Ashley,Conservative,Sixth,11 September
William Speight,Auckland East,Greyite,First,10 September
William John Hurst,Auckland West,Greyite,First,6 September
James Wallis,Auckland West,Greyite,Second,6 September
William Rolleston,Avon,Conservative,Fourth,28 August
William Murray,Bruce,Conservative,Third,9 September
James Bickerton Fisher,Buller,Greyite,First,9 September
William Barron,Caversham,Greyite,First,9 September
Alfred Saunders,Cheviot,Conservative,Third,6 September
Samuel Paull Andrews,Christchurch,Greyite,First,10 September
George Grey,Christchurch,Greyite,Third,10 September
Edward Cephas John Stevens,Christchurch,Conservative,Third,10 September
John Davies Ormond,Clive,Conservative,Fifth,10 September
James William Thomson,Clutha,Greyite,Third,11 September
Edward George Wright,Coleridge,Conservative,First,15 September
William Gibbs,Collingwood,Conservative,Third,11 September
Thomas Dick,City of Dunedin,Conservative,Third,2 September
Richard Oliver,City of Dunedin,Conservative,Second,2 September
William Downie Stewart,City of Dunedin,Conservative,Second,2 September
