Round,Pick,Player,Position,Team,College
2,13,Hank Biasatti,G,Boston Celtics,Long Island
8,69,Paul Cloyd,G/F,Washington Capitols,Wisconsin
3,28,Jimmy Darden,G,Chicago Stags,Denver
6,53,Andy Duncan,F/C,New York Knicks,William & Mary
4,33,Johnny Ezersky,G/F,Boston Celtics,Rhode Island State
8,70,Elmer Gainer,F/C,Baltimore Bullets,DePaul
4,40,Harry Gallatin,F/C,Baltimore Bullets,Northeast Missouri
5,43,Jack Hewson,F/C,Boston Celtics,Temple
5,42,Paul Hoffman,G/F,Toronto Huskies,Purdue
2,14,Bob Hubbard,F/C,Providence Steamrollers,Springfield
5,45,Ron Livingstone,C,New York Knicks,University of Wyoming
9,74,John Mandic,F/C,Washington Capitols,Oregon State
7,63,Saul Mariaschin,G,Washington Capitols,Harvard
7,61,Wataru Misaka,G,New York Knicks,Utah
2,11,Fritz Nagy,G/F,Pittsburgh Ironmen,Akron
6,54,Paul Napolitano,G/F,St. Louis Bombers,San Francisco
5,47,Andy Phillip,G/F,Chicago Stags,Illinois
7,62,Jim Pollard,F/C,Chicago Stags,Stanford
9,75,Chick Reiser,G/F,Baltimore Bullets,NYU
2,12,Red Rocha,F/C,Toronto Huskies,Oregon State
