Year,Title,Role
1995-06,ASAP,Herself - Host
1996-99,Gimik,Melanie Suntay
1999-03,Tabing Ilog,Jennifer Jerry Ricafort
2001-03,Sa Dulo ng Walang Hanggan,Sally Perida / Sara / Susan Concepción
2003-04,Basta't Kasama Kita,Joyce
2003-04,Narito Ang Puso Ko,Estella Stella Bautista
2005-06,Mga Anghel na Walang Langit,Ira Mercado
2006,Agawin Mo Man Ang Lahat,Greta
2006,Ang Kasagutan,Lena
2006,Bahay Mo Ba 'To ?,Leona
2006-07,Mars Ravelo 's Captain Barbell,Magna / Magnetica
2007,Princess Charming,Melay
2007,Kokey,Myra Villoria-Alegre
2008,Mars Ravelo 's Dyesebel,Reyna Dyangga
2009,Tayong Dalawa,Loretta Dominguez-King
2009-10,May Bukas Pa,Jacky Jackie Santos
2010,Gilda Olvidado 's Magkano Ang Iyong Dangal ?,Rita Robles
2010,Tanging Yaman,Atty . Leona Policarpio-Jacinto
2010,Your Song Presents : Gimik 2010,Melanie Suntay-Lorenzo
2010-11,"Emil Cruz , Jr. 's Mara Clara",Susan David
