No,Name,Party,Date of Appointment,Date of Retirement
1,L. Hanumanthaiah,Indian National Congress,03-Apr-2018,02-Apr-2024
2,Syed Naseer Hussain,Indian National Congress,03-Apr-2018,02-Apr-2024
3,G. C. Chandrasekhar,Indian National Congress,03-Apr-2018,02-Apr-2024
4,Jairam Ramesh,Indian National Congress,01-Jul-2016,30-Jun-2022
5,Oscar Fernandes,Indian National Congress,01-Jul-2016,30-Jun-2022
6,B. K. Hariprasad,Indian National Congress,26-Jun-2014,25-Jun-2020
7,Rajeev Gowda,Indian National Congress,26-Jun-2014,25-Jun-2020
8,Rajeev Chandrasekhar,Bharatiya Janata Party,03-Apr-2018,02-Apr-2024
9,K. C. Ramamurthy,Bharatiya Janata Party,05-Dec-2019,30-Jun-2022
10,Nirmala Sitharaman,Bharatiya Janata Party,01-Jul-2016,30-Jun-2022
11,Prabhakar Kore,Bharatiya Janata Party,26-Jun-2014,25-Jun-2020
12,D. Kupendra Reddy,Janata Dal ( Secular ),26-Jun-2014,25-Jun-2020
