US,CAN,Album,Artist,Record Label
,21,All the Good 'Uns ( The Best of Ian Tyson ),Ian Tyson,Stony Plain
,10,Anne Murray,Anne Murray,SBK/Capitol
,13,The Best of Country Heat,Various Artists,BMG
17,9,The Best of Country Sing the Best of Disney,Various Artists,Walt Disney
7,3,Between Now and Forever,Bryan White,Asylum
12,18,Big Love,Tracy Byrd,MCA Nashville
,13,The Birth of a Star,Patsy Cline,Razor & Tie
1,1,Blue,LeAnn Rimes,Curb
1,3,Blue Clear Sky,George Strait,MCA Nashville
6,,Blue Moon,Toby Keith,A & M
,5,Blue Plate Special,Prairie Oyster,Velvel
1,1,Borderline,Brooks & Dunn,Arista Nashville
33,12,BR5-49,BR5-49,Arista Nashville
14,1,Calm Before the Storm,Paul Brandt,Reprise
23,,Christmas : The Gift,Collin Raye,Epic
18,,Christmas Volume II,Alabama,RCA Nashville
,1,CMT Canada '96,Various Artists,BMG
,1,Collection,The Rankin Family,EMI
3,,Crank It Up : The Music Album,Jeff Foxworthy,Warner Bros
2,1,Did I Shave My Legs for This ?,Deana Carter,Capitol Nashville
