Rank,Amusement park,Location,2012 Attendance
1,Magic Kingdom at Walt Disney World Resort,"Lake Buena Vista , Florida , US","17,536,000"
2,Disneyland at Disneyland Resort,"Anaheim , California , US","15,963,000"
3,Tokyo Disneyland,"Tokyo , Japan","14,847,000"
4,Tokyo DisneySea,"Tokyo , Japan","12,656,000"
5,Disneyland Park at Disneyland Paris,"Marne-la-Vallée , France","11,200,000"
6,Epcot at Walt Disney World Resort,"Lake Buena Vista , Florida , US","11,063,000"
7,Disney 's Animal Kingdom at Walt Disney World Resort,"Lake Buena Vista , Florida , US","9,998,000"
8,Disney 's Hollywood Studios at Walt Disney World Resort,"Lake Buena Vista , Florida , US","9,912,000"
9,Universal Studios Japan,"Osaka , Japan","8,700,000"
10,Islands of Adventure at Universal Orlando Resort,"Orlando , Florida , US","7,981,000"
11,Disney California Adventure at Disneyland Resort,"Anaheim , California , US","7,775,000"
12,Ocean Park Hong Kong,"Hong Kong , China","7,436,000"
13,Everland,"Yongin , Gyeonggi-Do , South Korea","6,853,000"
14,Hong Kong Disneyland,"Hong Kong , China","6,700,000"
15,Lotte World,"Seoul , South Korea","6,383,000"
16,Universal Studios Florida at Universal Orlando Resort,"Orlando , Florida , US","6,195,000"
17,Universal Studios Hollywood,"Universal City , California , US","5,912,000"
18,Nagashima Spa Land,"Kuwana , Japan","5,850,000"
19,SeaWorld Orlando,"Orlando , Florida , US","5,358,000"
20,Walt Disney Studios Park at Disneyland Paris,"Marne-la-Vallée , France","4,800,000"
