Cup,Champion,Score,Runner-up,Additional participants
1983,Portland Winter Hawks ( WHL ),8-3,Oshawa Generals ( OHL ),"Lethbridge Broncos ( WHL ) , Verdun Juniors ( QMJHL )"
1984,Ottawa 67 's ( OHL ),7-2,Kitchener Rangers ( OHL ),"Laval Voisins ( QMJHL ) , Kamloops Jr. Oilers ( WHL )"
1985,Prince Albert Raiders ( WHL ),6-1,Shawinigan Cataractes ( QMJHL ),"Sault Ste . Marie Greyhounds ( OHL ) , Verdun Junior Canadiens ( QMJHL )"
1986,Guelph Platers ( OHL ),6-2,Hull Olympiques ( QMJHL ),"Kamloops Blazers ( WHL ) , Portland Winter Hawks ( WHL )"
1987,Medicine Hat Tigers ( WHL ),6-2,Oshawa Generals ( OHL ),Longueuil Chevaliers ( QMJHL )
1988,Medicine Hat Tigers ( WHL ),7-6,Windsor Spitfires ( OHL ),"Drummondville Voltigeurs ( QMJHL ) , Hull Olympiques ( QMJHL )"
1989,Swift Current Broncos ( WHL ),4-3 ( OT ),Saskatoon Blades ( WHL ),"Laval Titan ( QMJHL ) , Peterborough Petes ( OHL )"
1990,Oshawa Generals ( OHL ),4-3 ( OT ),Kitchener Rangers ( OHL ),"Laval Titan ( QMJHL ) , Kamloops Blazers ( WHL )"
1991,Spokane Chiefs ( WHL ),5-1,Drummondville Voltigeurs ( QMJHL ),"Chicoutimi Saguenéens ( QMJHL ) , Sault Ste . Marie Greyhounds ( OHL )"
1992,Kamloops Blazers ( WHL ),5-4,Sault Ste . Marie Greyhounds ( OHL ),"Seattle Thunderbirds ( WHL ) , Verdun Collège Français ( QMJHL )"
1993,Sault Ste . Marie Greyhounds ( OHL ),4-2,Peterborough Petes ( OHL ),"Laval Titan ( QMJHL ) , Swift Current Broncos ( WHL )"
1994,Kamloops Blazers ( WHL ),5-3,Laval Titan ( QMJHL ),"Chicoutimi Saguenéens ( QMJHL ) , North Bay Centennials ( OHL )"
1995,Kamloops Blazers ( WHL ),8-2,Detroit Junior Red Wings ( OHL ),"Brandon Wheat Kings ( WHL ) , Hull Olympiques ( QMJHL )"
1996,Granby Prédateurs ( QMJHL ),4-0,Peterborough Petes ( OHL ),"Brandon Wheat Kings ( WHL ) , Guelph Storm ( OHL )"
1997,Hull Olympiques ( QMJHL ),5-1,Lethbridge Hurricanes ( WHL ),"Chicoutimi Saguenéens ( QMJHL ) , Oshawa Generals ( OHL )"
1998,Portland Winter Hawks ( WHL ),4-3 ( OT ),Guelph Storm ( OHL ),"Spokane Chiefs ( WHL ) , Val-d'Or Foreurs ( QMJHL )"
1999,Ottawa 67 's ( OHL ),7-6 ( OT ),Calgary Hitmen ( WHL ),"Acadie-Bathurst Titan ( QMJHL ) , Belleville Bulls ( OHL )"
2000,Rimouski Océanic ( QMJHL ),6-2,Barrie Colts ( OHL ),"Halifax Mooseheads ( QMJHL ) , Kootenay Ice ( WHL )"
2001,Red Deer Rebels ( WHL ),6-5 ( OT ),Val-d'Or Foreurs ( QMJHL ),"Ottawa 67 's ( OHL ) , Regina Pats ( WHL )"
2002,Kootenay Ice ( WHL ),6-3,Victoriaville Tigres ( QMJHL ),"Erie Otters ( OHL ) , Guelph Storm ( OHL )"
