Title/Program,Collaborators,Year ( s ) of Recording,Record label
"Toscanini Collection , Volume 71 : La Scala Acoustical Recordings Beethoven : : Adagio ; Allegro molto e vivace ( last movement ) from Symphony No . 1 in C major , Op . 21 Allegro ( last movement ) from Symphony No . 5 in C minor , Op . 67 Berlioz : Rákóczy March Bizet : L ' Arlésienne , suite for orchestra No . 2 Carmen , Act 4 : Entr'acte : Aragonaise Donizetti : Don Pasquale Overture Respighi : Ancient Airs and Dances , Set 1 Massanet : Scènes pittoresques Mendelssohn : A Midsummer Night 's Dream : Scherzo and Wedding March Mozart : Menuetto and Finale from Symphony No . 39 in E flat major , K. 543 Pizzetti : La Pisanelle , Prelude to Act I Wolf-Ferrari : Il segreto di Susanna , Overture",La Scala Theatre Orchestra,1920-1921,RCA Gold Seal
"Toscanini Collection , Volume 64 : Haydn - Beethoven Haydn : Symphony No . 101 in D major Clock Beethoven : Symphony No . 7 in A major , Op . 92 Mendelssohn : A Midsummer Night 's Dream , Op.21 : Scherzo",New York Philharmonic,,RCA Gold Seal
"Toscanini Collection , Volume 65 : Mozart - Brahms - Wagner Mozart : Symphony No . 35 in D major , K 385 Haffner Mendelssohn : Midsummer Night 's Dream , Op . 61 : Scherzo and Nocturne Brahms : Variations on a theme by Haydn , Op . 56a Wagner : Siegfried Idyll Dukas : The Sorcerers Apprentice",New York Philharmonic,,RCA Gold Seal
"Toscanini Collection , Volume 66 : Overtures & Preludes Gluck : Orfeo ed Euridice : Dance of the Blessed Spirits Verdi : La traviata : Preludes to acts 1 and 3 Wagner : Götterdämmerung : Dawn and Siegfried 's Rhine Journey Lohengrin : Preludes to acts 1 and 3 Rossini : Il barbiere di Siviglia : Overture L'italiana in Algeri : Overture Semiramide : Overture",New York Philharmonic,,RCA Gold Seal
"Complete Philadelphia Orchestra Recordings ( 3-CD set ) Schubert : Symphony No . 9 in C major , D 944 Great Richard Strauss : Death and Transfiguration , Op . 24 Debussy : La mer Images for Orchestra : No . 2 , Ibéria Resphigi : Roman Festivals Berlioz : Roméo and Juliet , Op . 17 : Queen Mab Scherzo Tchaikovsky : Symphony No . 6 in B minor , Op . 74 Pathétique Mendelssohn : Midsummer Night 's Dream : Excerpts*","Philadelphia Orchestra Edwina Eustis , soprano* Florence Kirk , soprano* University of Pennsylvania Women 's Glee Club*",1941-1942,RCA Red Seal
"Beethoven : 9 Symphonies ( 5-CD set ) Beethoven : Symphony No . 1 in C major , Op . 21 Symphony No . 2 in D major , Op . 36 Symphony No . 3 in E flat major , Op . 55 Eroica Symphony No . 4 in B flat major , Op . 60 Symphony No . 5 in C minor , Op . 67 Symphony No . 6 in F major , Op . 68 Pastoral Symphony No . 7 in A major , Op . 92 Symphony No . 8 in F major , Op . 93 Symphony No . 9 in D minor , Op . 125 Choral*","NBC Symphony Orchestra Eileen Farrell , soprano* Nan Merriman , mezzo-soprano* Jan Peerce , tenor* Norman Scott , bass* Robert Shaw Chorale *","1949-53 ( all broadcasts , except Nos . 1 , 2 , 8 , and 9 : studio )","RCA Red Seal 82876 55702 ( the same remasters as in The Immortal , Vols . I-III , which also includes a 1953 studio recording of Missa Solemnis )"
Italian Orchestral Music ( 2-CD set ) Respighi : Pines of Rome Fountains of Rome Roman Festivals Catalani : Loreley : Dance of the water nymphs La Wally : Act 4 Prelude Donizetti : Don Pasquale : Overture Verdi : La forza del destino : Overture Ponchielli La Gioconda : Dance of the Hours Rossini : L'italiana in Algeri : Overture Semiramide : Overture Guillaume Tell : Overture,NBC Symphony Orchestra,1949-1953 ( all studio ),"RCA Red Seal 74321 72374 ( The Immortal , Vol . X )"
Verdi & Cherubini : Choral Works ( 2-CD set ) Verdi : Requiem* Quattro pezzi sacri : Te Deum Cherubini : Requiem in C minor,"NBC Symphony Orchestra Robert Shaw Chorale Herva Nelli , soprano* Fedora Barbieri , mezzo-soprano* Giuseppe Di Stefano , tenor* Cesare Siepi , bass*","1951-1954 ( broadcasts , plus many patches from rehearsals for Verdi 's Requiem )","RCA Red Seal 74321 72373 ( The Immortal , Vol . XI )"
"Schubert & Mendelssohn : Symphonies ( 2-CD set ) Schubert : Symphony No . 5 in B-flat major , D 485 Symphony No . 8 in B minor , D 759 Unfinished Symphony No . 9 in C major , D 944 Great Mendelssohn : Symphony No . 4 in A major , Op . 90 Italian Symphony No . 5 in D major , Op . 107 Reformation",NBC Symphony Orchestra,1950-1953 studio ( Schubert ) and broadcasts + rehearsals ( Mendelssohn ),"RCA Red Seal 74321 59480 ( The Immortal , Vol . V )"
"Brahms : The Four Symphonies ( 2-CD set ) Brahms : Symphony No . 1 in C minor , Op . 68 Symphony No . 2 in D major , Op . 73 Symphony No . 3 in F major , Op . 90 Symphony No . 4 in E minor , Op . 98",NBC Symphony Orchestra,1951-52 ( studio ),"RCA Red Seal 74321 55838 ( The Immortal , Vol . IV )"
"Great Symphonies ( 2-CD set ) Mozart : Symphony No . 40 in G minor , K. 550 Haydn : Symphony No . 94 in G major Surprise Cherubini : Symphony in D major Schumann : Symphony No . 3 in E flat major , Op . 97 Rhenish Dvořák : Symphony No . 9 in E minor , B . 178/Op . 95 From the New World",NBC Symphony Orchestra,"1949-53 ( all studio , except Schumann which is a broadcast )","RCA Red Seal 74321 59481 ( The Immortal , Vol . VI )"
"French Orchestral Music ( 2-CD set ) Debussy : La Mer , L. 109 Ibéria , for orchestra , L. 122/2 Nuages , L. 91/1 Prelude to the Afternoon of a Faun , L. 86 Ravel : Daphnis et Chloé , suite No . 2 Berlioz : Roman Carnival Overture , H.95/Op . 9 Roméo and Juliet : Queen Mab Scherzo , H.79/Op . 17 Franck : Psyché Herold : Overture to Zampa Saint-Saëns : Danse macabre , Op . 40 Bizet : Carmen Suite No . 1 Thomas : Mignon Overture Dukas : The Sorcerers Apprentice",NBC Symphony Orchestra,,RCA Red Seal
Wagner ( 2-CD set ) Wagner : Die Walküre : Ride of the Valkyries Siegfried : Forest Murmurs Die Götterdämmerung : Dawn and Siegfried 's Rhine Journey / Siegfried 's Death and Funeral Music Siegfried Idyll Tristan und Isolde : Prelude to Act I & Liebestod Die Meistersinger von Nürnberg : Prelude to Act III Parsifal : Prelude to Act I / Good Friday Spell Lohengrin : Prelude to Act 1 / Prelude to Act III Tannhäuser : Overture & Bacchanale,NBC Symphony Orchestra,"1949-52 ( all studio , except Tannhäuser which is a broadcast )","RCA Red Seal 74321 59482 ( The Immortal , Vol . VII )"
