Club,Greek name,Settlement,Regional unit,Region
Acheron Kanallaki,Αχέρων Καναλακίου,Kanallaki,Preveza,Epirus
AE Messolonghi,Α.Ε . Μεσολογγίου,Missolonghi,Aetolia-Acarnania,West Greece
Anagennisi Arta,Αναγέννηση Άρτας,Arta,Arta,Epirus
Anatoli,Ανατολή,Ioannina,Ioannina,Epirus
Apollon Efpalio,Απόλλων Ευπαλίου,Efpalio,Phocis,Central Greece
Asteras Itea,Αστέρας Ιτέας,Itea,Phocis,Central Greece
Karagiannia,Καραγιάννια,Xirolimni,Kozani,West Macedonia
Lefkimmi,Λευκίμμη,Lefkimmi,Corfu,Ionian Islands
Makedonikos Foufas,Μακεδονικός Φούφα,Foufas,Kozani,West Macedonia
Nafpaktiakos Asteras,Ναυπακτιακός Αστέρας,Naupactus,Aetolia-Acarnania,West Greece
Preveza,Πρέβεζα,Preveza,Preveza,Epirus
Souli Paramythia,Σούλι Παραμυθιάς,Paramythia,Thesprotia,Epirus
Thinaliakos,Θιναλιακός,Acharavi,Corfu,Ionian Islands
Tilikratis,Τηλυκράτης,Lefkada,Lefkada,Ionian Islands
