Club,Home city,Stadium,Capacity
Ajman,Ajman City,Ajman Stadium,"5,537"
Al Ain,Al-Ain,Hazza Bin Zayed Stadium,"22,965"
Al Dhafra,Madinat Zayed,Al Dhafra Stadium,"5,020"
Al Jazira,Abu Dhabi City ( Al Nahyan ),Mohammad Bin Zayed Stadium,"42,056"
Al Nasr,Dubai City ( Al Nasr ),Al-Maktoum Stadium,"15,058"
Al Wahda,Abu Dhabi City ( Al Nahyan ),Al Nahyan Stadium,"12,201"
Al Wasl,Dubai City ( Zabeel ),Zabeel Stadium,"8,439"
Baniyas,Abu Dhabi City ( Al Shamkha ),Baniyas Stadium,"10,000"
Hatta,Hatta,Hamdan Bin Rashid Stadium,"5,000"
Fujairah,Fujairah City,Fujairah Club Stadium,"10,645"
Kalba,Kalba,Ittihad Kalba Stadium,"8,500"
Khor Fakkan,Khor Fakkan,Saqr bin Mohammad al Qassimi Stadium,"4,373"
Shabab Al Ahli,Dubai City ( Deira ),Rashid Stadium,"12,052"
Sharjah,Sharjah City,Sharjah Stadium,"20,000"
