No,Abbreviated Name,Town or Settlement,Official Club and Team Name
1,GBK,Kokkola,Gamlakarleby Bollklubb
2,JBK,Jakobstad,Jakobstads BK
3,Hercules,Oulu,Jalkapalloseura Hercules
4,Kajaani,Kajaani,AC Kajaani
5,KajHa,Kajaani,Kajaanin Haka
6,Kraft,Närpes,Närpes Kraft Fotbollsförening
7,KuFu-98,Kuopio,SC Kuopio Futis-98
8,OTP,Oulu,Oulun Työväen Palloilijat
9,PK-37,Iisalmi,Pallo-Kerho 37
10,TP-47,Tornio,Tornion Pallo -47
11,VIFK,Vaasa,Idrottsföreningen Kamraterna Vasa
12,FC Villiketut,Jyväskylä,FC Villiketut
