Model designation,Build year,Total produced,AAR wheel arrangement,Prime mover,Power output
SD7,1952-1953,188,C-C,EMD 16-567B,"1,500 hp ( 1.1 MW )"
SD9,1954-1959,515,C-C,EMD 16-567C,"1,750 hp ( 1.7 MW )"
SD18,1960-1963,114,C-C,EMD 16-567D1,"1,800 hp ( 1.3 MW )"
SD24,1958-1963,224,C-C,EMD 16-567D3,"2,400 hp ( 1,880 kW )"
SD28,1965-1966,12,C-C,EMD 16-567D1,"1,800 hp 1,300 kW )"
SD35,1964-1966,360,C-C,EMD 16-567D3A,"2,500 hp ( 1.9 MW )"
SDP35,1964-1965,35,C-C,EMD 16-567D3A Steam generator,"2,500 hp ( 1.9 MW )"
SD38,1967-1971,108,C-C,EMD 16-645E,"2,000 hp ( 1,500 kW )"
SD38AC,1971,15,C-C,EMD 16-645E,"2,000 hp ( 1,500 kW )"
SD38-2,1972-1979,90,C-C,EMD 16-645E,"2,000 hp ( 1,500 kW )"
SDP38,1967,40,C-C,EMD 16-645E,"2,000 hp ( 1,500 kW )"
SD39,1968-1970,54,C-C,EMD 12-645E3,"2,300 hp ( 1,700 kW )"
SDL39,1969-1972,10,C-C,EMD 12-645E3,"2,300 hp ( 1.7 MW )"
SD40X,1964-1965,9,C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
SD40,1966-1972,"1,268",C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
SD40A,1969-1970,18,C-C,EMD 16-645E3,"3,000 hp ( 2,240 kW )"
SDP40,1966-1970,20,C-C,EMD 16-645E3 Steam generator,"3,000 hp ( 2,240 kW )"
SD40T-2,1974-1980,312,C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
SD40-2,1972-1989,"3,982",C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
SD40-2W,1975-1980,123,C-C,EMD 16-645E3,"3,000 hp ( 2.2 MW )"
