Station,Ward or City,Opening date,Design,Daily ridership ( FY2017 )
Shibuya,Shibuya,1977.04.07 2008.06.14,Underground,"829,947"
Ayase,Adachi,1971.04.20,Elevated,"451,413"
Kita-Senju,Adachi,1962.05.31,"At-grade , elevated","299,219"
Nishi-Funabashi,Funabashi ( Chiba ),1969.03.29,At-grade,"293,332"
Yoyogi-Uehara,Shibuya,1978.03.31,Elevated,"278,836"
Naka-Meguro,Meguro,1964.07.22,Elevated,"229,306"
Wakō-shi,Wakō ( Saitama ),1987.08.25,Elevated,"185,865"
Kotake-Mukaihara,Nerima,1983.06.24,Underground,"180,429"
Oshiage,Sumida,2003.03.19,Underground,"177,297"
Nakano,Nakano,1966.03.16,Elevated,"160,270"
Meguro,Shinagawa,2000.09.26,Underground,"118,326"
Akabane Iwabuchi,Kita,1991.11.29,Underground,"92,093"
Shirokane-Takanawa,Minato,2000.09.26,Underground,"42,541"
Shirokanedai,Minato,2000.09.26,Underground,"18,193"
