Medal,Name,Sport,Event,Date
Gold,Asrelawandi,Bodybuilding,Men 's -60kg,10 Dec
Gold,Syafrizaldy,Bodybuilding,Men 's -75kg,11 Dec
Gold,Aero Sutan Aswar,Jet Ski,Men 's Runabout Endurance Open,16 Dec
Silver,Yessy Yosaputera,Marathon Swimming,Women 's 10km,11 Dec
Silver,Men 's Team Ahris Sumariyanto Bambang Sulistyo Kriswantoro Masrun Martius Bungan Sutarno,Beach Woodball,Men 's Team,13 Dec
Bronze,Men 's Team,Beach Sepaktakraw,Men 's Team,11 Dec
Bronze,Women 's Team,Beach Sepaktakraw,Women 's Team,11 Dec
Bronze,Men 's Team,Water Ski,Trick Skiing Team Overall,14 Dec
Bronze,Maliki Zulkarnain,Water Ski,Men 's Individual Trick Skiing,15 Dec
Bronze,Women 's Regu,Beach Sepaktakraw,Women 's Regu,15 Dec
Bronze,Women 's Team,Beach Kabaddi,Women,15 Dec
