Title,Publisher,Release Date,CERO
Hokuto no Ken,Sega,"February 26 , 2008",B
Fantasy Zone,Sega,"March 11 , 2008",A
Super Wonder Boy,Sega,"April 8 , 2008",A
Alex Kidd no Miracle World,Sega,"May 13 , 2008",A
Ashura,Sega,"June 3 , 2008",B
Space Harrier,Sega,"July 23 , 2008",A
"Sonic the Hedgehog ( not available from March 30 , 2012 to October 15 , 2013 )",Sega,"August 5 , 2008",A
Enduro Racer,Sega,"October 21 , 2008",A
Sonic the Hedgehog 2,Sega,"November 18 , 2008",A
Super Wonder Boy : Monster World,Sega,"December 24 , 2008",A
Fantasy Zone II : Opa-Opa no Namida,Sega,"January 13 , 2009",A
Alex Kidd : The Lost Stars,Sega,"February 17 , 2009",A
Sonic Chaos ( Sonic & Tails ),Sega,"March 17 , 2009",A
Phantasy Star,Sega,"April 21 , 2009",A
"R-Type ( delisted on October 18 , 2011 )",Irem,"May 19 , 2009",A
