Name,Abbreviation,Date,Head office,IACS member ?
Lloyd 's Register,LR,1760,London,Yes
Bureau Veritas,BV,1828,Paris,Yes
Croatian Register of Shipping / Austrian Veritas ( Hrvatski Registar Brodova ),CRS,1858/ 1949,Split,Yes
Registro Italiano Navale,RINA,1861,Genoa,Yes
American Bureau of Shipping,ABS,1862,Houston,Yes
DNV GL,DNV GL,1864,Oslo,Yes
Nippon Kaiji Kyokai ( ClassNK ),NK,1899,Tokyo,Yes
Russian Maritime Register of Shipping ( Российский морской регистр судоходства ),RS,1913,Saint Petersburg,Yes
Hellenic Register of Shipping,HR,1919,Piraeus,No
Polish Register of Shipping ( Polski Rejestr Statków ),PRS,1936,Gdańsk,Yes
Bulgarian Register of Shipping ( Български Корабен Регистър ),BRS ( БКР ),1950,Varna,No
Dromon Bureau of Shipping,DBS,2003,Piraeus,No
China Classification Society,CCS,1956,Beijing,Yes
Korean Register of Shipping,KR,1960,Busan,Yes
Registro Internacional Naval,RINAVE,1973,Lisbon,No
Indian Register of Shipping,IRCLASS ( IRS ),1975,Mumbai,Yes
International Register of Shipping,IRS,1993,Miami,No
Shipping Register of Ukraine ( Регістр судноплавства України ),RU ( РУ ),1998,Kiev,No
Maritime Bureau of Africa,MBA,2014,Cape Town,No
Overseas Marine Certification Services,OMCS,2004,Panama,No
