Year,Athlete,Country,Time ( h : m : s )
1979,Heide Brenner,Germany,2:47:06
1980,Ingrid Kristiansen,Norway,2:38:45
1981,Ingrid Kristiansen,Norway,2:41:34
1982,Ingrid Kristiansen,Norway,2:34:26
1983,Tuulikki Räisänen,Sweden - Enhörna IF,2:36:58
1984,Ria Van Landeghem,Belgium,2:34:13
1985,Jeanette Nordgren,Sweden - IK Vikingen,2:36:43
1986,Evy Palm,Sweden - Mölndals AIK,2:34:42
1987,Evy Palm,Sweden - Mölndals AIK,2:35:14
1988,Grete Waitz,Norway,2:28:24
1989,Evy Palm,Sweden - Mölndals AIK,2:33:26
1990,Midde Hamrin,Sweden - Mölndals AIK,2:37:07
1991,Midde Hamrin,Sweden - Mölndals AIK,2:36:15
1992,Linda Milo,Belgium,2:39:10
1993,Grete Kirkeberg,Norway,2:37:58
1994,Irina Sklarenko,Ukraine,2:40:34
1995,Ingmarie Nilsson,Sweden - Ullevi Friidrott,2:33:03
1996,Grete Kirkeberg,Norway,2:36:40
1997,Anita Håkenstad,Norway,2:33:26
1998,Grete Kirkeberg,Norway,2:37:39
