Entry date,Position,Player,From club,Fee
November 2013,Head coach,Wan Jamak Wan Hassan,Free agent,align=right| 0
November 2013,DC,Hamka Hamzah,Mitra Kukar,align=right| 0
November 2013,Forward,Karlo Primorac,Sime Darby,align=right| 0
November 2013,GK,Mohd Zamir Selamat,JDT,align=right| 0
November 2013,LB,Zaiful Abdul Hakim,Selangor,align=right| 0
November 2013,DRLC,Abdul Ghani Rahman,Negeri Sembilan FA,align=right| 0
November 2013,MC,Muhd Hardee Shamsuri,Selangor,align=right| 0
November 2013,AMC,Muhd Hafiz Abu Hassan,Perlis FA,align=right| 0
November 2013,AMC,Shafuan Adli Shaari,T-Team,align=right| 0
November 2013,ML,Mohd Norhafizzuan Jailani,SPA F.C,align=right| 0
November 2013,AMRL,Karlo Primorac,Sime Darby FC,align=right| 0
November 2013,DMC,Radzi Mohd Hussin,Sabah,align=right| 0
November 2013,AMC,Nik Syafiq Syazwan Nik Min,UiTM F.C,align=right| 0
November 2013,Forward,Kim Dong-Chan,Persita Tangerang,align=right| 0
April 2014,AMRC,Shahurain Abu Samah,Felda United F.C,align=right| 0
