Event,Date ( taped ),Date ( aired ),City,Venue
Turning Point,"September 5 , 2014","January 9 , 2015","Charlottesville , Virginia",John Paul Jones Arena
Rivals,"September 6 , 2014","February 6 , 2015","Roanoke Rapids , North Carolina",Royal Palace Theatre
Joker 's Wild 2015,"February 14 , 2015","March 6 , 2015","Orlando , Florida",Impact Zone
Hardcore Justice 2015,"February 13 , 2015","April 1 , 2015","Orlando , Florida",Impact Zone
X-Travaganza 2015,"February 15 , 2015","May 6 , 2015","Orlando , Florida",Impact Zone
Knockouts Knockdown 2015,"February 15 , 2015","July 1 , 2015","Orlando , Florida",Impact Zone
World Cup 2015,"February 15 , 2015","August 5 , 2015","Orlando , Florida",Impact Zone
Gut Check,"February 16 , 2015","September 4 , 2015","Orlando , Florida",Impact Zone
The TNA Classic,"February 16 , 2015","November 6 , 2015","Orlando , Florida",Impact Zone
Global Impact - USA vs . The World,"February 13 , 2015","December 4 , 2015","Orlando , Florida",Impact Zone
